,PHOT,WTOF,WTON,HE Lumbardhi,HE Dikance,HE Radavac,HE Burimi,HROR
2014-12-31 23:00:00+00:00,0,0,0,1,1,1,1,0.422409
2015-01-01 00:00:00+00:00,0,0,0,1,1,1,1,0.422409
2015-01-01 01:00:00+00:00,0,0,0,1,1,1,1,0.422409
2015-01-01 02:00:00+00:00,0,0,0,1,1,1,1,0.422409
2015-01-01 03:00:00+00:00,0,0,0,1,1,1,1,0.422409
2015-01-01 04:00:00+00:00,0,0,0,1,1,1,1,0.422409
2015-01-01 05:00:00+00:00,0,0,0,1,1,1,1,0.422409
2015-01-01 06:00:00+00:00,0,0,0,1,1,1,1,0.422409
2015-01-01 07:00:00+00:00,0,0,0,1,0.996616607,1,1,0.421497
2015-01-01 08:00:00+00:00,0,0,0,1,0.99122824,1,1,0.420044
2015-01-01 09:00:00+00:00,0,0,0,1,0.985839874,1,1,0.418592
2015-01-01 10:00:00+00:00,0,0,0,1,0.980451507,1,1,0.41714
2015-01-01 11:00:00+00:00,0,0,0,1,0.97506314,1,1,0.415687
2015-01-01 12:00:00+00:00,0,0,0,1,0.969674773,1,1,0.414235
2015-01-01 13:00:00+00:00,0,0,0,1,0.964286406,1,1,0.412783
2015-01-01 14:00:00+00:00,0,0,0,1,0.958898039,1,1,0.41133
2015-01-01 15:00:00+00:00,0,0,0,1,0.953509672,1,1,0.409878
2015-01-01 16:00:00+00:00,0,0,0,1,0.948121306,1,1,0.408426
2015-01-01 17:00:00+00:00,0,0,0,1,0.942732939,1,1,0.406973
2015-01-01 18:00:00+00:00,0,0,0,1,0.937344572,1,1,0.405521
2015-01-01 19:00:00+00:00,0,0,0,1,0.931956205,1,1,0.404068
2015-01-01 20:00:00+00:00,0,0,0,1,0.926567838,1,1,0.402616
2015-01-01 21:00:00+00:00,0,0,0,1,0.921179471,1,1,0.401164
2015-01-01 22:00:00+00:00,0,0,0,1,0.915791105,1,1,0.399711
2015-01-01 23:00:00+00:00,0,0,0,1,0.910402738,1,1,0.398259
2015-01-02 00:00:00+00:00,0,0,0,1,0.910646135,1,1,0.398325
2015-01-02 01:00:00+00:00,0,0,0,1,0.910889533,1,1,0.39839
2015-01-02 02:00:00+00:00,0,0,0,1,0.91113293,1,1,0.398456
2015-01-02 03:00:00+00:00,0,0,0,1,0.911376328,1,1,0.398521
2015-01-02 04:00:00+00:00,0,0,0,1,0.911619725,1,1,0.398587
2015-01-02 05:00:00+00:00,0,0,0,1,0.911863123,1,1,0.398653
2015-01-02 06:00:00+00:00,0,0,0,1,0.91210652,1,1,0.398718
2015-01-02 07:00:00+00:00,0,0,0,1,0.912349918,1,1,0.398784
2015-01-02 08:00:00+00:00,0,0,0,1,0.912593315,1,1,0.398849
2015-01-02 09:00:00+00:00,0,0,0,1,0.912836712,1,1,0.398915
2015-01-02 10:00:00+00:00,0,0,0,1,0.91308011,1,1,0.398981
2015-01-02 11:00:00+00:00,0,0,0,1,0.913323507,1,1,0.399046
2015-01-02 12:00:00+00:00,0,0,0,1,0.913566905,1,1,0.399112
2015-01-02 13:00:00+00:00,0,0,0,1,0.913810302,1,1,0.399177
2015-01-02 14:00:00+00:00,0,0,0,1,0.9140537,1,1,0.399243
2015-01-02 15:00:00+00:00,0,0,0,1,0.914297097,1,1,0.399309
2015-01-02 16:00:00+00:00,0,0,0,1,0.914540495,1,1,0.399374
2015-01-02 17:00:00+00:00,0,0,0,1,0.914783892,1,1,0.39944
2015-01-02 18:00:00+00:00,0,0,0,1,0.91502729,1,1,0.399505
2015-01-02 19:00:00+00:00,0,0,0,1,0.915270687,1,1,0.399571
2015-01-02 20:00:00+00:00,0,0,0,1,0.915514085,1,1,0.399637
2015-01-02 21:00:00+00:00,0,0,0,1,0.915757482,1,1,0.399702
2015-01-02 22:00:00+00:00,0,0,0,1,0.91600088,1,1,0.399768
2015-01-02 23:00:00+00:00,0,0,0,1,0.916244277,1,1,0.399833
2015-01-03 00:00:00+00:00,0,0,0,1,0.915339445,1,1,0.39959
2015-01-03 01:00:00+00:00,0,0,0,1,0.914434612,1,1,0.399346
2015-01-03 02:00:00+00:00,0,0,0,1,0.91352978,1,1,0.399102
2015-01-03 03:00:00+00:00,0,0,0,1,0.912624948,1,1,0.398858
2015-01-03 04:00:00+00:00,0,0,0,1,0.911720115,1,1,0.398614
2015-01-03 05:00:00+00:00,0,0,0,1,0.910815283,1,1,0.39837
2015-01-03 06:00:00+00:00,0,0,0,1,0.909910451,1,1,0.398126
2015-01-03 07:00:00+00:00,0,0,0,1,0.909005619,1,1,0.397882
2015-01-03 08:00:00+00:00,0,0,0,1,0.908100786,1,1,0.397639
2015-01-03 09:00:00+00:00,0,0,0,1,0.907195954,1,1,0.397395
2015-01-03 10:00:00+00:00,0,0,0,1,0.906291122,1,1,0.397151
2015-01-03 11:00:00+00:00,0,0,0,1,0.905386289,1,1,0.396907
2015-01-03 12:00:00+00:00,0,0,0,1,0.904481457,1,1,0.396663
2015-01-03 13:00:00+00:00,0,0,0,1,0.903576625,1,1,0.396419
2015-01-03 14:00:00+00:00,0,0,0,1,0.902671792,1,1,0.396175
2015-01-03 15:00:00+00:00,0,0,0,1,0.90176696,1,1,0.395931
2015-01-03 16:00:00+00:00,0,0,0,1,0.900862128,1,1,0.395687
2015-01-03 17:00:00+00:00,0,0,0,1,0.899957295,1,1,0.395444
2015-01-03 18:00:00+00:00,0,0,0,1,0.899052463,1,1,0.3952
2015-01-03 19:00:00+00:00,0,0,0,1,0.898147631,1,1,0.394956
2015-01-03 20:00:00+00:00,0,0,0,1,0.897242798,1,1,0.394712
2015-01-03 21:00:00+00:00,0,0,0,1,0.896337966,1,1,0.394468
2015-01-03 22:00:00+00:00,0,0,0,1,0.895433134,1,1,0.394224
2015-01-03 23:00:00+00:00,0,0,0,1,0.894528301,1,1,0.39398
2015-01-04 00:00:00+00:00,0,0,0,1,0.89273895,1,1,0.393498
2015-01-04 01:00:00+00:00,0,0,0,1,0.890949599,1,1,0.393016
2015-01-04 02:00:00+00:00,0,0,0,1,0.889160248,1,1,0.392533
2015-01-04 03:00:00+00:00,0,0,0,1,0.887370897,1,1,0.392051
2015-01-04 04:00:00+00:00,0,0,0,1,0.885581546,1,1,0.391569
2015-01-04 05:00:00+00:00,0,0,0,1,0.883792195,1,1,0.391086
2015-01-04 06:00:00+00:00,0,0,0,1,0.882002844,1,1,0.390604
2015-01-04 07:00:00+00:00,0,0,0,1,0.880213493,1,1,0.390122
2015-01-04 08:00:00+00:00,0,0,0,1,0.878424141,1,1,0.38964
2015-01-04 09:00:00+00:00,0,0,0,1,0.87663479,1,1,0.389157
2015-01-04 10:00:00+00:00,0,0,0,1,0.874845439,1,1,0.388675
2015-01-04 11:00:00+00:00,0,0,0,1,0.873056088,1,1,0.388193
2015-01-04 12:00:00+00:00,0,0,0,1,0.871266737,1,1,0.38771
2015-01-04 13:00:00+00:00,0,0,0,1,0.869477386,1,1,0.387228
2015-01-04 14:00:00+00:00,0,0,0,1,0.867688035,1,1,0.386746
2015-01-04 15:00:00+00:00,0,0,0,1,0.865898684,1,1,0.386263
2015-01-04 16:00:00+00:00,0,0,0,1,0.864109333,1,1,0.385781
2015-01-04 17:00:00+00:00,0,0,0,1,0.862319982,1,1,0.385299
2015-01-04 18:00:00+00:00,0,0,0,1,0.86053063,1,1,0.384817
2015-01-04 19:00:00+00:00,0,0,0,1,0.858741279,1,1,0.384334
2015-01-04 20:00:00+00:00,0,0,0,1,0.856951928,1,1,0.383852
2015-01-04 21:00:00+00:00,0,0,0,1,0.855162577,1,1,0.38337
2015-01-04 22:00:00+00:00,0,0,0,1,0.853373226,1,1,0.382887
2015-01-04 23:00:00+00:00,0,0,0,1,0.851583875,1,1,0.382405
2015-01-05 00:00:00+00:00,0,0,0,1,0.849459704,1,1,0.381833
2015-01-05 01:00:00+00:00,0,0,0,1,0.847335534,1,1,0.38126
2015-01-05 02:00:00+00:00,0,0,0,1,0.845211363,1,1,0.380687
2015-01-05 03:00:00+00:00,0,0,0,1,0.843087192,1,1,0.380115
2015-01-05 04:00:00+00:00,0,0,0,1,0.840963021,1,1,0.379542
2015-01-05 05:00:00+00:00,0,0,0,1,0.838838851,1,1,0.37897
2015-01-05 06:00:00+00:00,0,0,0,1,0.83671468,1,1,0.378397
2015-01-05 07:00:00+00:00,0,0,0,1,0.834590509,1,1,0.377825
2015-01-05 08:00:00+00:00,0,0,0,1,0.832466338,1,1,0.377252
2015-01-05 09:00:00+00:00,0,0,0,1,0.830342168,1,1,0.37668
2015-01-05 10:00:00+00:00,0,0,0,1,0.828217997,1,1,0.376107
2015-01-05 11:00:00+00:00,0,0,0,1,0.826093826,1,1,0.375535
2015-01-05 12:00:00+00:00,0,0,0,1,0.823969656,1,1,0.374962
2015-01-05 13:00:00+00:00,0,0,0,1,0.821845485,1,1,0.37439
2015-01-05 14:00:00+00:00,0,0,0,1,0.819721314,1,1,0.373817
2015-01-05 15:00:00+00:00,0,0,0,1,0.817597143,1,1,0.373244
2015-01-05 16:00:00+00:00,0,0,0,1,0.815472973,1,1,0.372672
2015-01-05 17:00:00+00:00,0,0,0,1,0.813348802,1,1,0.372099
2015-01-05 18:00:00+00:00,0,0,0,1,0.811224631,1,1,0.371527
2015-01-05 19:00:00+00:00,0,0,0,1,0.80910046,1,1,0.370954
2015-01-05 20:00:00+00:00,0,0,0,1,0.80697629,1,1,0.370382
2015-01-05 21:00:00+00:00,0,0,0,1,0.804852119,1,1,0.369809
2015-01-05 22:00:00+00:00,0,0,0,1,0.802727948,1,1,0.369237
2015-01-05 23:00:00+00:00,0,0,0,1,0.800603778,1,1,0.368664
2015-01-06 00:00:00+00:00,0,0,0,1,0.798441713,1,1,0.368081
2015-01-06 01:00:00+00:00,0,0,0,1,0.796279648,1,1,0.367499
2015-01-06 02:00:00+00:00,0,0,0,1,0.794117583,1,1,0.366916
2015-01-06 03:00:00+00:00,0,0,0,1,0.791955518,1,1,0.366333
2015-01-06 04:00:00+00:00,0,0,0,1,0.789793453,1,1,0.36575
2015-01-06 05:00:00+00:00,0,0,0,1,0.787631388,1,1,0.365168
2015-01-06 06:00:00+00:00,0,0,0,1,0.785469323,1,1,0.364585
2015-01-06 07:00:00+00:00,0,0,0,1,0.783307258,1,1,0.364002
2015-01-06 08:00:00+00:00,0,0,0,1,0.781145194,1,1,0.363419
2015-01-06 09:00:00+00:00,0,0,0,1,0.778983129,1,1,0.362837
2015-01-06 10:00:00+00:00,0,0,0,1,0.776821064,1,1,0.362254
2015-01-06 11:00:00+00:00,0,0,0,1,0.774658999,1,1,0.361671
2015-01-06 12:00:00+00:00,0,0,0,1,0.772496934,1,1,0.361088
