,PHOT,WTOF,WTON,HE Lumbardhi,HE Dikance,HE Radavac,HE Burimi,HROR
2009-12-31 23:00:00+00:00,0,0,0,1,0.921880371,1,1,0.990396
2010-01-01 00:00:00+00:00,0,0,0,1,0.921880371,1,1,0.990396
2010-01-01 01:00:00+00:00,0,0,0,1,0.925537774,1,1,0.990846
2010-01-01 02:00:00+00:00,0,0,0,1,0.929195178,1,1,0.991296
2010-01-01 03:00:00+00:00,0,0,0,1,0.932852582,1,1,0.991745
2010-01-01 04:00:00+00:00,0,0,0,1,0.936509986,1,1,0.992195
2010-01-01 05:00:00+00:00,0,0,0,1,0.940167389,1,1,0.992644
2010-01-01 06:00:00+00:00,0,0,0,1,0.943824793,1,1,0.993094
2010-01-01 07:00:00+00:00,0,0,0,1,0.947482197,1,1,0.993544
2010-01-01 08:00:00+00:00,0,0,0,1,0.9511396,1,1,0.993993
2010-01-01 09:00:00+00:00,0,0,0,1,0.954797004,1,1,0.994443
2010-01-01 10:00:00+00:00,0,0,0,1,0.958454408,1,1,0.994893
2010-01-01 11:00:00+00:00,0,0,0,1,0.962111811,1,1,0.995342
2010-01-01 12:00:00+00:00,0,0,0,1,0.965769215,1,1,0.995792
2010-01-01 13:00:00+00:00,0,0,0,1,0.969426619,1,1,0.996241
2010-01-01 14:00:00+00:00,0,0,0,1,0.973084023,1,1,0.996691
2010-01-01 15:00:00+00:00,0,0,0,1,0.976741426,1,1,0.997141
2010-01-01 16:00:00+00:00,0,0,0,1,0.98039883,1,1,0.99759
2010-01-01 17:00:00+00:00,0,0,0,1,0.984056234,1,1,0.99804
2010-01-01 18:00:00+00:00,0,0,0,1,0.987713637,1,1,0.99849
2010-01-01 19:00:00+00:00,0,0,0,1,0.991371041,1,1,0.998939
2010-01-01 20:00:00+00:00,0,0,0,1,0.995028445,1,1,0.999389
2010-01-01 21:00:00+00:00,0,0,0,1,0.998685848,1,1,0.999838
2010-01-01 22:00:00+00:00,0,0,0,1,1,1,1,1
2010-01-01 23:00:00+00:00,0,0,0,1,1,1,1,1
2010-01-02 00:00:00+00:00,0,0,0,1,1,1,1,1
2010-01-02 01:00:00+00:00,0,0,0,1,1,1,1,1
2010-01-02 02:00:00+00:00,0,0,0,1,0.997575205,1,1,0.999702
2010-01-02 03:00:00+00:00,0,0,0,1,0.994766721,1,1,0.999357
2010-01-02 04:00:00+00:00,0,0,0,1,0.991958238,1,1,0.999011
2010-01-02 05:00:00+00:00,0,0,0,1,0.989149754,1,1,0.998666
2010-01-02 06:00:00+00:00,0,0,0,1,0.98634127,1,1,0.998321
2010-01-02 07:00:00+00:00,0,0,0,1,0.983532787,1,1,0.997976
2010-01-02 08:00:00+00:00,0,0,0,1,0.980724303,1,1,0.99763
2010-01-02 09:00:00+00:00,0,0,0,1,0.977915819,1,1,0.997285
2010-01-02 10:00:00+00:00,0,0,0,1,0.975107336,1,1,0.99694
2010-01-02 11:00:00+00:00,0,0,0,1,0.972298852,1,1,0.996595
2010-01-02 12:00:00+00:00,0,0,0,1,0.969490369,1,1,0.996249
