year,month,day,hour,min,Vertical load [kW],index
2014,1,2,16,45,11346480,164
2014,1,2,17,0,11682060,165
2014,1,2,17,15,11888100,166
2014,1,2,17,30,12175740,167
2014,1,2,17,45,12178800,168
2014,1,2,18,0,12144120,169
2014,1,2,18,15,12019680,170
2014,1,2,18,30,12087000,171
2014,1,2,18,45,11964600,172
2014,1,2,19,0,11835060,173
2014,1,2,19,15,11633100,174
2014,1,2,19,30,11559660,175
2014,1,2,19,45,11480100,176
2014,1,2,20,0,11255700,177
2014,1,2,20,15,11127180,178
2014,1,2,20,30,10922160,179
2014,1,2,20,45,10860960,180
2014,1,2,21,0,10671240,181
2014,1,2,21,15,10569240,182
2014,1,2,21,30,10467240,183
2014,1,2,21,45,10371360,184
2014,1,2,22,0,10573320,185
2014,1,2,22,15,10790580,186
2014,1,2,22,30,10965000,187
2014,1,2,22,45,10894620,188
2014,1,2,23,0,11063940,189
2014,1,2,23,15,10918080,190
2014,1,2,23,30,10676340,191
2014,1,2,23,45,10372380,192
2014,1,3,0,0,10334640,193
2014,1,3,0,15,10042920,194
2014,1,3,0,30,9904200,195
2014,1,3,0,45,9623700,196
2014,1,3,1,0,9507420,197
2014,1,3,1,15,9264660,198
2014,1,3,1,30,9209580,199
2014,1,3,1,45,9056580,200
2014,1,3,2,0,9051480,201
2014,1,3,2,15,9025980,202
2014,1,3,2,30,8923980,203
2014,1,3,2,45,8806680,204
2014,1,3,3,0,8718960,205
2014,1,3,3,15,8673060,206
2014,1,3,3,30,8719980,207
2014,1,3,3,45,8657760,208
2014,1,3,4,0,8620020,209
2014,1,3,4,15,8625120,210
2014,1,3,4,30,8780160,211
2014,1,3,4,45,8844420,212
2014,1,3,5,0,8925000,213
2014,1,3,5,15,9009660,214
2014,1,3,5,30,9114720,215
2014,1,3,5,45,9218760,216
2014,1,3,6,0,9538020,217
2014,1,3,6,15,9712440,218
2014,1,3,6,30,9913380,219
2014,1,3,6,45,10103100,220
2014,1,3,7,0,10074540,221
2014,1,3,7,15,10364220,222
2014,1,3,7,30,10567200,223
2014,1,3,7,45,10772220,224
2014,1,3,8,0,10863000,225
2014,1,3,8,15,11064960,226
2014,1,3,8,30,11152680,227
2014,1,3,8,45,11070060,228
2014,1,3,9,0,11234280,229
2014,1,3,9,15,11239380,230
2014,1,3,9,30,11276100,231
2014,1,3,9,45,11318940,232
2014,1,3,10,0,11279160,233
2014,1,3,10,15,11212860,234
2014,1,3,10,30,11247540,235
2014,1,3,10,45,11308740,236
2014,1,3,11,0,11280180,237
2014,1,3,11,15,11383200,238
2014,1,3,11,30,11373000,239
2014,1,3,11,45,11391360,240
2014,1,3,12,0,11490300,241
2014,1,3,12,15,11389320,242
2014,1,3,12,30,11443380,243
2014,1,3,12,45,11314860,244
2014,1,3,13,0,11284260,245
2014,1,3,13,15,11326080,246
2014,1,3,13,30,11208780,247
2014,1,3,13,45,11179200,248
2014,1,3,14,0,11077200,249
2014,1,3,14,15,11133300,250
2014,1,3,14,30,11102700,251
2014,1,3,14,45,10939500,252
2014,1,3,15,0,11020080,253
2014,1,3,15,15,11093520,254
2014,1,3,15,30,11053740,255
2014,1,3,15,45,11090460,256
2014,1,3,16,0,11163900,257
2014,1,3,16,15,11186340,258
2014,1,3,16,30,11317920,259
2014,1,3,16,45,11654520,260
2014,1,3,17,0,11911560,261
2014,1,3,17,15,11935020,262
2014,1,3,17,30,12129840,263
2014,1,3,17,45,12260400,264
2014,1,3,18,0,12260400,265
2014,1,3,18,15,12151260,266
2014,1,3,18,30,12032940,267
2014,1,3,18,45,11978880,268
2014,1,3,19,0,11954400,269
2014,1,3,19,15,11813640,270
2014,1,3,19,30,11635140,271
2014,1,3,19,45,11490300,272
2014,1,3,20,0,11436240,273
2014,1,3,20,15,11124120,274
2014,1,3,20,30,11076180,275
2014,1,3,20,45,10960920,276
2014,1,3,21,0,10787520,277
2014,1,3,21,15,10756920,278
2014,1,3,21,30,10559040,279
2014,1,3,21,45,10408080,280
2014,1,3,22,0,10598820,281
2014,1,3,22,15,10987440,282
2014,1,3,22,30,11020080,283
2014,1,3,22,45,10959900,284
2014,1,3,23,0,11145540,285
2014,1,3,23,15,10943580,286
2014,1,3,23,30,10806900,287
2014,1,3,23,45,10699800,288
2014,1,4,0,0,10437660,289
2014,1,4,0,15,10281600,290
2014,1,4,0,30,10014360,291
2014,1,4,0,45,9776700,292
2014,1,4,1,0,9729780,293
2014,1,4,1,15,9515580,294
2014,1,4,1,30,9427860,295
2014,1,4,1,45,9242220,296
2014,1,4,2,0,9222840,297
2014,1,4,2,15,9098400,298
2014,1,4,2,30,8990280,299
2014,1,4,2,45,8912760,300
2014,1,4,3,0,8854620,301
2014,1,4,3,15,8878080,302
2014,1,4,3,30,8896440,303
2014,1,4,3,45,8733240,304
2014,1,4,4,0,8770980,305
2014,1,4,4,15,8808720,306
2014,1,4,4,30,8797500,307
2014,1,4,4,45,8769960,308
2014,1,4,5,0,8745480,309
2014,1,4,5,15,8703660,310
2014,1,4,5,30,8829120,311
2014,1,4,5,45,8934180,312
2014,1,4,6,0,9054540,313
2014,1,4,6,15,9051480,314
2014,1,4,6,30,9187140,315
2014,1,4,6,45,9224880,316
2014,1,4,7,0,9186120,317
2014,1,4,7,15,9189180,318
2014,1,4,7,30,9459480,319
2014,1,4,7,45,9589020,320
2014,1,4,8,0,9786900,321
2014,1,4,8,15,9891960,322
2014,1,4,8,30,9986820,323
2014,1,4,8,45,10190820,324
2014,1,4,9,0,10303020,325
2014,1,4,9,15,10347900,326
2014,1,4,9,30,10498860,327
2014,1,4,9,45,10487640,328
2014,1,4,10,0,10605960,329
2014,1,4,10,15,10601880,330
2014,1,4,10,30,10663080,331
2014,1,4,10,45,10738560,332
2014,1,4,11,0,10829340,333
2014,1,4,11,15,10909920,334
2014,1,4,11,30,10961940,335
2014,1,4,11,45,11118000,336
2014,1,4,12,0,11071080,337
2014,1,4,12,15,11129220,338
2014,1,4,12,30,10958880,339
2014,1,4,12,45,10904820,340
2014,1,4,13,0,10996620,341
2014,1,4,13,15,10914000,342
2014,1,4,13,30,10872180,343
2014,1,4,13,45,10902780,344
2014,1,4,14,0,10664100,345
2014,1,4,14,15,10734480,346
2014,1,4,14,30,10657980,347
2014,1,4,14,45,10654920,348
2014,1,4,15,0,10670220,349
2014,1,4,15,15,10581480,350
2014,1,4,15,30,10609020,351
2014,1,4,15,45,10622280,352
2014,1,4,16,0,10723260,353
2014,1,4,16,15,10653900,354
2014,1,4,16,30,10761000,355
2014,1,4,16,45,10952760,356
2014,1,4,17,0,11263860,357
2014,1,4,17,15,11386260,358
2014,1,4,17,30,11601480,359
2014,1,4,17,45,11733060,360
2014,1,4,18,0,11704500,361
2014,1,4,18,15,11709600,362
2014,1,4,18,30,11606580,363
2014,1,4,18,45,11650440,364
2014,1,4,19,0,11453580,365
2014,1,4,19,15,11386260,366
2014,1,4,19,30,11272020,367
2014,1,4,19,45,11123100,368
2014,1,4,20,0,10970100,369
2014,1,4,20,15,10899720,370
2014,1,4,20,30,10768140,371
2014,1,4,20,45,10600860,372
2014,1,4,21,0,10518240,373
2014,1,4,21,15,10331580,374
2014,1,4,21,30,10333620,375
2014,1,4,21,45,10129620,376
2014,1,4,22,0,10395840,377
2014,1,4,22,15,10497840,378
2014,1,4,22,30,10585560,379
2014,1,4,22,45,10569240,380
2014,1,4,23,0,10761000,381
2014,1,4,23,15,10708980,382
2014,1,4,23,30,10538640,383
2014,1,4,23,45,10323420,384
2014,1,5,0,0,10134720,385
2014,1,5,0,15,9942960,386
2014,1,5,0,30,9894000,387
2014,1,5,0,45,9722640,388
2014,1,5,1,0,9652260,389
2014,1,5,1,15,9374820,390
2014,1,5,1,30,9313620,391
2014,1,5,1,45,9150420,392
2014,1,5,2,0,9071880,393
2014,1,5,2,15,8984160,394
2014,1,5,2,30,8839320,395
2014,1,5,2,45,8711820,396
2014,1,5,3,0,8699580,397
2014,1,5,3,15,8761800,398
2014,1,5,3,30,8698560,399
2014,1,5,3,45,8676120,400
2014,1,5,4,0,8670000,401
2014,1,5,4,15,8599620,402
2014,1,5,4,30,8736300,403
2014,1,5,4,45,8672040,404
2014,1,5,5,0,8664900,405
2014,1,5,5,15,8721000,406
2014,1,5,5,30,8738340,407
2014,1,5,5,45,8680200,408
2014,1,5,6,0,8888280,409
2014,1,5,6,15,8872980,410
2014,1,5,6,30,8988240,411
2014,1,5,6,45,8964780,412
2014,1,5,7,0,8903580,413
2014,1,5,7,15,9006600,414
2014,1,5,7,30,9034140,415
2014,1,5,7,45,9129000,416
2014,1,5,8,0,9275880,417
2014,1,5,8,15,9375840,418
2014,1,5,8,30,9487020,419
2014,1,5,8,45,9596160,420
2014,1,5,9,0,9718560,421
2014,1,5,9,15,9749160,422
2014,1,5,9,30,9713460,423
2014,1,5,9,45,9946020,424
2014,1,5,10,0,10135740,425
2014,1,5,10,15,10209180,426
2014,1,5,10,30,10223460,427
2014,1,5,10,45,10317300,428
2014,1,5,11,0,10423380,429
2014,1,5,11,15,10576380,430
2014,1,5,11,30,10650840,431
2014,1,5,11,45,10779360,432
2014,1,5,12,0,10825260,433
2014,1,5,12,15,10816080,434
2014,1,5,12,30,10931340,435
2014,1,5,12,45,10872180,436
2014,1,5,13,0,10844640,437
2014,1,5,13,15,10475400,438
2014,1,5,13,30,10509060,439
2014,1,5,13,45,10528440,440
2014,1,5,14,0,10366260,441
2014,1,5,14,15,10259160,442
2014,1,5,14,30,10234680,443
2014,1,5,14,45,10167360,444
2014,1,5,15,0,10269360,445
