Total Forecast,Total Measured & Upscaled,Monitored Capacity,Total Forecast,Total Measured & Upscaled,Monitored Capacity,Total Forecast,Total Measured & Upscaled,Monitored Capacity
1234900.0,1287330.0,1487200.0,611980.0,589190.0,665950.0,622920.0,698140.0,821250.0
1245250.0,1288780.0,1487200.0,614410.0,582220.0,665950.0,630840.0,706560.0,821250.0
1255700.0,1271620.0,1487200.0,616870.0,573970.0,665950.0,638830.0,697650.0,821250.0
1266020.0,1264570.0,1487200.0,619310.0,566880.0,665950.0,646710.0,697690.0,821250.0
1276400.0,1273320.0,1487200.0,621750.0,567730.0,665950.0,654650.0,705590.0,821250.0
1286780.0,1268300.0,1487200.0,624180.0,580410.0,665950.0,662600.0,687890.0,821250.0
1297080.0,1284560.0,1487200.0,626600.0,589020.0,665950.0,670480.0,695540.0,821250.0
1307440.0,1295820.0,1487200.0,629030.0,595070.0,665950.0,678410.0,700740.0,821250.0
1317890.0,1289320.0,1487200.0,631480.0,597900.0,665950.0,686410.0,691420.0,821250.0
1328160.0,1294740.0,1487200.0,633920.0,599250.0,665950.0,694240.0,695490.0,821250.0
1338490.0,1294090.0,1487200.0,636340.0,598970.0,665950.0,702150.0,695120.0,821250.0
1340050.0,1297430.0,1487200.0,636610.0,599190.0,665950.0,703440.0,698240.0,821250.0
1341490.0,1291210.0,1487200.0,636860.0,592870.0,665950.0,704630.0,698350.0,821250.0
1343080.0,1290300.0,1487200.0,637140.0,588490.0,665950.0,705940.0,701820.0,821250.0
1344580.0,1281830.0,1487200.0,637400.0,581570.0,665950.0,707180.0,700270.0,821250.0
1346050.0,1278060.0,1487200.0,637640.0,575810.0,665950.0,708410.0,702250.0,821250.0
1347510.0,1265040.0,1487200.0,637920.0,568630.0,665950.0,709590.0,696410.0,821250.0
1349060.0,1282450.0,1487200.0,638190.0,575250.0,665950.0,710870.0,707210.0,821250.0
1350580.0,1299790.0,1487200.0,638440.0,585240.0,665950.0,712140.0,714550.0,821250.0
1352070.0,1293130.0,1487200.0,638700.0,585440.0,665950.0,713370.0,707690.0,821250.0
1353610.0,1291060.0,1487200.0,638950.0,581170.0,665950.0,714660.0,709890.0,821250.0
1355020.0,1280850.0,1487200.0,639210.0,576650.0,665950.0,715810.0,704200.0,821250.0
1356550.0,1286390.0,1487200.0,639510.0,578470.0,665950.0,717040.0,707920.0,821250.0
1356930.0,1278460.0,1487200.0,639350.0,578810.0,665950.0,717580.0,699660.0,821250.0
1357260.0,1271780.0,1487200.0,639250.0,580960.0,665950.0,718010.0,690820.0,821250.0
1357710.0,1277180.0,1487200.0,639130.0,582510.0,665950.0,718580.0,694670.0,821250.0
1358040.0,1294000.0,1487200.0,639000.0,590070.0,665950.0,719040.0,703930.0,821250.0
1358410.0,1310490.0,1487200.0,638890.0,593460.0,665950.0,719520.0,717030.0,821250.0
1358820.0,1299940.0,1487200.0,638770.0,594160.0,665950.0,720050.0,705780.0,821250.0
1359140.0,1295440.0,1487200.0,638680.0,592530.0,665950.0,720460.0,702910.0,821250.0
1373580.0,1299170.0,1487200.0,640040.0,597960.0,665950.0,733540.0,701210.0,821250.0
1373230.0,1292970.0,1487200.0,639710.0,594340.0,665950.0,733520.0,698630.0,821250.0
1372930.0,1294070.0,1487200.0,639430.0,593890.0,665950.0,733500.0,700180.0,821250.0
1372650.0,1302090.0,1487200.0,639120.0,599070.0,665950.0,733530.0,703020.0,821250.0
1372310.0,1306520.0,1487200.0,638820.0,600980.0,665950.0,733490.0,705540.0,821250.0
1369020.0,1310970.0,1487200.0,637490.0,603530.0,665950.0,731530.0,707440.0,821250.0
1365650.0,1307280.0,1487200.0,636130.0,603020.0,665950.0,729520.0,704260.0,821250.0
1362430.0,1323110.0,1487200.0,634800.0,603180.0,665950.0,727630.0,719920.0,821250.0
1359100.0,1316360.0,1487200.0,633450.0,602970.0,665950.0,725650.0,713390.0,821250.0
1355750.0,1288360.0,1487200.0,632120.0,600400.0,665950.0,723630.0,687960.0,821250.0
1352450.0,1274800.0,1487200.0,630770.0,599390.0,665950.0,721680.0,675420.0,821250.0
1349140.0,1273860.0,1487200.0,629430.0,597440.0,665950.0,719710.0,676420.0,821250.0
1345780.0,1283660.0,1487200.0,628080.0,600230.0,665950.0,717700.0,683430.0,821250.0
1342500.0,1257030.0,1487200.0,626740.0,588580.0,665950.0,715760.0,668450.0,821250.0
1339190.0,1256770.0,1487200.0,625400.0,584370.0,665950.0,713790.0,672400.0,821250.0
1335930.0,1196060.0,1487200.0,624070.0,536850.0,665950.0,711860.0,659200.0,821250.0
1332610.0,1033460.0,1487200.0,622700.0,385890.0,665950.0,709910.0,647570.0,821250.0
1322620.0,1006240.0,1487200.0,618080.0,333350.0,665950.0,704540.0,672890.0,821250.0
1312660.0,1089020.0,1487200.0,613490.0,418420.0,665950.0,699170.0,670600.0,821250.0
1302750.0,1098100.0,1487200.0,608860.0,439750.0,665950.0,693890.0,658360.0,821250.0
1292850.0,1110780.0,1487200.0,604260.0,452440.0,665950.0,688590.0,658340.0,821250.0
1282930.0,1216690.0,1487200.0,599650.0,561180.0,665950.0,683280.0,655500.0,821250.0
1273030.0,1219030.0,1487200.0,595030.0,570140.0,665950.0,678000.0,648890.0,821250.0
1262960.0,1224630.0,1487200.0,590430.0,583690.0,665950.0,672530.0,640940.0,821250.0
1253130.0,1209450.0,1487200.0,585820.0,582000.0,665950.0,667310.0,627450.0,821250.0
1243200.0,1204430.0,1487200.0,581220.0,583930.0,665950.0,661980.0,620500.0,821250.0
1233230.0,1228570.0,1487200.0,576580.0,579210.0,665950.0,656650.0,649360.0,821250.0
1223300.0,1215610.0,1487200.0,571980.0,572910.0,665950.0,651320.0,642700.0,821250.0
1213400.0,1201850.0,1487200.0,567380.0,565590.0,665950.0,646020.0,636260.0,821250.0
1191850.0,1181770.0,1487200.0,555160.0,561490.0,665950.0,636690.0,620280.0,821250.0
1170380.0,1167200.0,1487200.0,542940.0,558830.0,665950.0,627440.0,608360.0,821250.0
1148840.0,1148110.0,1487200.0,530740.0,544040.0,665950.0,618100.0,604070.0,821250.0
1127360.0,1128020.0,1487200.0,518550.0,546540.0,665950.0,608810.0,581490.0,821250.0
1105850.0,1117760.0,1487200.0,506330.0,532520.0,665950.0,599520.0,585240.0,821250.0
1084340.0,1149080.0,1487200.0,494120.0,549100.0,665950.0,590220.0,599980.0,821250.0
1062790.0,1152290.0,1487200.0,481910.0,547490.0,665950.0,580880.0,604800.0,821250.0
1041280.0,1136660.0,1487200.0,469710.0,544000.0,665950.0,571570.0,592660.0,821250.0
1019760.0,1165090.0,1487200.0,457480.0,561120.0,665950.0,562280.0,603970.0,821250.0
