Total ,Coal ,Fuel ,Gas ,Nuclear ,Water ,Wind ,Other 
8622340,98000,0,1456097,5874600,290551,516337,386755
8744551,97000,0,1459923,5871200,328505,562849,425074
8630741,97800,0,1447156,5874600,185833,606562,418790
8740018,78800,0,1461478,5872200,328869,599324,399347
8641758,70200,0,1428232,5874200,256427,605326,407373
8389079,70800,0,1359346,5872600,77879,606170,402284
8327756,65600,0,1334741,5875600,56316,590153,405346
8187348,58800,0,1226980,5859800,56121,583745,401902
8143782,66400,0,1236996,5799800,55994,580620,403972
7983418,65000,0,1134972,5725400,55703,575086,427257
7814827,56400,0,1051772,5670200,55674,562659,418122
7835091,0,0,1149416,5629000,55510,590702,410463
7915669,0,0,1266058,5586400,55317,590520,417374
7857614,0,0,1242848,5549400,55107,585911,424348
7689547,0,0,1090199,5540200,54905,588333,415910
7831513,0,0,1215677,5535800,54185,604256,421595
7903766,0,0,1291179,5534800,53854,600819,423114
7789083,0,0,1184708,5533800,53493,596659,420423
7721371,0,0,1102369,5536800,53642,597021,431539
7901072,0,0,1290410,5534200,53640,586910,435912
7972260,0,0,1326987,5536800,53815,600763,453895
7944749,0,0,1285300,5537200,54318,596159,471772
7739228,0,0,1134993,5533800,54602,582881,432952
7823070,0,0,1226203,5537200,54537,574576,430554
7934028,0,0,1312100,5536200,54213,596525,434990
7912572,0,0,1288509,5537200,54319,591368,441176
7866401,0,0,1230999,5538200,54053,587825,455324
7854071,0,0,1209001,5537200,54072,588322,465476
7807133,0,0,1171365,5540200,54137,585398,456033
7828463,0,0,1197189,5536200,54218,585940,454916
7824020,0,0,1192263,5535800,54310,595672,445975
7896945,0,0,1268196,5536200,54252,600195,438102
7800180,0,0,1194131,5537200,54513,590148,424188
7992281,0,0,1298729,5533200,153714,588406,418232
8003891,0,0,1268107,5530800,184352,598266,422366
7786486,0,0,1096285,5525200,146406,600648,417947
7680528,0,0,1076822,5525800,57030,605746,415130
7954355,0,0,1274138,5522200,147383,598756,411878
8112291,0,0,1303014,5521800,286984,591776,408717
7955432,0,0,1197843,5521800,248183,581126,406480
7975709,0,0,1214015,5522800,256808,564201,417885
8063246,0,0,1266281,5520800,298522,567781,409862
8192143,0,0,1339151,5520800,330357,583137,418698
7998411,0,0,1206534,5521800,264629,595270,410178
7861305,0,0,1164327,5520800,165768,591872,418538
8027888,0,0,1343801,5519800,155331,580246,428710
8125310,0,0,1321823,5513800,270875,574373,444439
8107490,0,0,1310235,5507400,254553,576402,458900
8071042,0,0,1286872,5507800,269422,578490,428458
8048799,0,0,1280297,5508800,262785,580014,416903
8071682,0,0,1283112,5505400,264973,584882,433315
7914598,0,0,1257268,5502800,125090,585887,443553
8125910,0,0,1353041,5502400,234978,591395,444096
8090259,0,0,1352441,5502800,190728,596294,447996
8202537,0,0,1437678,5502800,242800,601091,418168
8260394,0,0,1415431,5499400,318845,602686,424032
8290960,0,0,1420020,5500400,348054,606768,415718
8195588,0,0,1370109,5510800,298559,603476,412644
8153754,0,0,1302632,5521800,294288,602079,432955
8111741,0,0,1323457,5521400,228918,594277,443689
8087360,0,0,1325097,5521800,213506,592851,434106
8029048,0,0,1300474,5524400,146504,585709,471961
7977107,0,0,1260609,5531800,132053,586538,466107
7814751,0,0,1194643,5540800,58231,571086,449991
7871011,0,0,1267958,5541800,54027,565071,442155
7860520,0,0,1243532,5542400,54345,578158,442085
7811861,0,0,1198601,5536800,54267,580178,442015
7795088,0,0,1221077,5521400,54456,547697,450458
