year,month,day,hour,min,Vertical load [kW],index
2014,1,1,0,0,9587000,1
2014,1,1,0,15,9466000,2
2014,1,1,0,30,9339000,3
2014,1,1,0,45,9181000,4
2014,1,1,1,0,9094000,5
2014,1,1,1,15,8907000,6
2014,1,1,1,30,8804000,7
2014,1,1,1,45,8652000,8
2014,1,1,2,0,8555000,9
2014,1,1,2,15,8436000,10
2014,1,1,2,30,8327000,11
2014,1,1,2,45,8198000,12
2014,1,1,3,0,8094000,13
2014,1,1,3,15,7991000,14
2014,1,1,3,30,7933000,15
2014,1,1,3,45,7889000,16
2014,1,1,4,0,7858000,17
2014,1,1,4,15,7824000,18
2014,1,1,4,30,7797000,19
2014,1,1,4,45,7776000,20
2014,1,1,5,0,7771000,21
2014,1,1,5,15,7757000,22
2014,1,1,5,30,7787000,23
2014,1,1,5,45,7759000,24
2014,1,1,6,0,7808000,25
2014,1,1,6,15,7814000,26
2014,1,1,6,30,7838000,27
2014,1,1,6,45,7790000,28
2014,1,1,7,0,7625000,29
2014,1,1,7,15,7571000,30
2014,1,1,7,30,7592000,31
2014,1,1,7,45,7607000,32
2014,1,1,8,0,7674000,33
2014,1,1,8,15,7697000,34
2014,1,1,8,30,7615000,35
2014,1,1,8,45,7566000,36
2014,1,1,9,0,7628000,37
2014,1,1,9,15,7686000,38
2014,1,1,9,30,7775000,39
2014,1,1,9,45,7869000,40
2014,1,1,10,0,7995000,41
2014,1,1,10,15,8086000,42
2014,1,1,10,30,8152000,43
2014,1,1,10,45,8251000,44
2014,1,1,11,0,8334000,45
2014,1,1,11,15,8400000,46
2014,1,1,11,30,8503000,47
2014,1,1,11,45,8574000,48
2014,1,1,12,0,8642000,49
2014,1,1,12,15,8692000,50
2014,1,1,12,30,8743000,51
2014,1,1,12,45,8756000,52
2014,1,1,13,0,8730000,53
2014,1,1,13,15,8702000,54
2014,1,1,13,30,8706000,55
2014,1,1,13,45,8681000,56
2014,1,1,14,0,8681000,57
2014,1,1,14,15,8588000,58
2014,1,1,14,30,8592000,59
2014,1,1,14,45,8582000,60
2014,1,1,15,0,8580000,61
2014,1,1,15,15,8572000,62
2014,1,1,15,30,8580000,63
2014,1,1,15,45,8605000,64
2014,1,1,16,0,8603000,65
2014,1,1,16,15,8640000,66
2014,1,1,16,30,8681000,67
2014,1,1,16,45,8907000,68
2014,1,1,17,0,9113000,69
2014,1,1,17,15,9252000,70
2014,1,1,17,30,9382000,71
2014,1,1,17,45,9413000,72
2014,1,1,18,0,9481000,73
2014,1,1,18,15,9493000,74
2014,1,1,18,30,9519000,75
2014,1,1,18,45,9478000,76
2014,1,1,19,0,9420000,77
2014,1,1,19,15,9356000,78
2014,1,1,19,30,9354000,79
2014,1,1,19,45,9330000,80
2014,1,1,20,0,9243000,81
2014,1,1,20,15,9155000,82
2014,1,1,20,30,9096000,83
2014,1,1,20,45,9027000,84
2014,1,1,21,0,8982000,85
2014,1,1,21,15,8922000,86
2014,1,1,21,30,8861000,87
2014,1,1,21,45,8861000,88
2014,1,1,22,0,9138000,89
2014,1,1,22,15,9332000,90
2014,1,1,22,30,9413000,91
2014,1,1,22,45,9400000,92
2014,1,1,23,0,9592000,93
2014,1,1,23,15,9473000,94
2014,1,1,23,30,9291000,95
2014,1,1,23,45,9098000,96
2014,1,2,0,0,8923000,97
2014,1,2,0,15,8726000,98
2014,1,2,0,30,8547000,99
2014,1,2,0,45,8434000,100
2014,1,2,1,0,8376000,101
