Indice,unit,type,fuel,pmax,part-load,rampup,rampdown,startup,minuptime,mindowntime,heatrate,noloadcost,startupcost,fuelcost,variablecost,efficiency
57,Lanaken Sappi,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1
58,LANGERBRUGGE STORA ST 1,WKK,WR,10,0,0,0,0,0,0,3.6,0,0,0,0,1
59,LANGERBRUGGE STORA ST 2,WKK,WR,40,0,0,0,0,0,0,3.6,0,0,0,0,1
60,Lillo Degussa GT1,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1
61,Lillo Degussa GT2,WKK,NG,32,0,0,0,0,0,0,3.6,0,0,0,0,1
62,Lillo Degussa ST,WKK,NG,10,0,0,0,0,0,0,3.6,0,0,0,0,1
63,Noordschote TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2
64,Northwind,WT,WI,108,0,0,0,0,0,0,3.6,0,0,0,0,1
65,Oorderen Bayer,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1
66,Oud-Lillo Monsanto,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1
67,PLATE TAILLE T,HUSTO,WA,144,0.43,0.33,0.33,0.3,0,0,3.6,0,0,0,0,1
68,RODENHUIZE 4,CL,WP,268,0.35,0.007,0.007,7,5,1,9,0,0,7.825937393,70.43343653,0.4
69,RODENHUIZE WIND,WT,WI,4.5,0,0,0,0,0,0,3.6,0,0,0,0,1
70,SAINT-GHISLAIN STEG,CCGT,NG,350,0.45,0.0286,0.0286,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57
71,Schaerbeek Siomab ST1,IS,WR,15,0,0,0,0,0,0,3.6,0,0,0,0,1
72,Schaerbeek Siomab ST2,IS,WR,15,0,0,0,0,0,0,3.6,0,0,0,0,1
73,Schaerbeek Siomab ST3,IS,WR,15,0,0,0,0,0,0,3.6,0,0,0,0,1
74,Scheldelaan Exxonmobil,WKK,NG,140,0,0,0,0,0,0,3.6,0,0,0,0,1
75,SCHELLE WIND,WT,WI,4.5,0,0,0,0,0,0,3.6,0,0,0,0,1
76,TIHANGE 1N,NU,NU,481,0.46,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33
77,TIHANGE 1S,NU,NU,481,0.46,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33
78,TIHANGE 2,NU,NU,1008,0.5,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33
79,TIHANGE 3,NU,NU,1045.8,0.5,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33
80,Turon TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2
81,Wilmarsdonk Total GT1,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1
82,Wilmarsdonk Total GT2,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1
83,Wilmarsdonk Total GT3,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1
84,Wilrijk Isvag,IS,WR,10.5,0,0,0,0,0,0,3.6,0,0,0,0,1
85,Zandvliet Power,CCGT,NG,384,0.56,0.025,0.025,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57
86,Zedelgem TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2
87,Zeebrugge 2 Fluxys,WKK,NG,40,0,0,0,0,0,0,3.6,0,0,0,0,1
88,Zeebrugge TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2
89,Zelzate 2 Knippegroen,CL,NG/BF,315,0.2,0.003,0.003,7,5,1,10.90909091,0,0,11.60266667,126.5745455,0.33
90,Zelzate TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2
91,Zwijndrecht Lanxess GT,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1
92,Zwijndrecht Lanxess ST,WKK,NG,15,0,0,0,0,0,0,3.6,0,0,0,0,1
93,Electrawinds biomassa Oostende,WKK,WR,17.9,0,0,0,0,0,0,3.6,0,0,0,0,1
94,Greenpower Oostende,IS,WR,20,0,0,0,0,0,0,3.6,0,0,0,0,1
95,Thorntonbank - C-Power - Area SW,WT,WI,177.6,0,0,0,0,0,0,3.6,0,0,0,0,1
96,Windvision Estinnes WIND,WT,WI,80,0,0,0,0,0,0,3.6,0,0,0,0,1
97,ZEEBRUGGE WIND,WT,WI,12,0,0,0,0,0,0,3.6,0,0,0,0,1
98,Marcinelle Energie (Carsid),CCGT,NG,405,0.56,0.025,0.025,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57
99,LANGERLO 1,CL,CP,235,0.35,0.007,0.007,7,5,1,10.90909091,0,0,6.51125,71.03181818,0.33
100,LANGERLO 2,CL,CP,235,0.35,0.007,0.007,7,5,1,10.90909091,0,0,6.51125,71.03181818,0.33
101,LANGERLO 3 REPOWERING,CCGT,NG,43,0.8,0.025,0.025,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57
102,LANGERLO 4 REPOWERING,CCGT,NG,43,0.8,0.025,0.025,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57
103,Aspiravi Wuustwezel,WT,WI,22.1,0,0,0,0,0,0,3.6,0,0,0,0,1
104,Eurosilo,WKK,NG,12.9,0,0,0,0,0,0,3.6,0,0,0,0,1
105,Incinerateur THUMAIDE (IPALLE),IS,WR,32,0,0,0,0,0,0,3.6,0,0,0,0,1
106,Intradel Herstal,IS,WR,32,0,0,0,0,0,0,3.6,0,0,0,0,1
107,Biostoom Oostende,CCGT,WR,19.4,0.1,0.025,0.025,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57
108,INESCO WKK,CCGT,NG,138,0.31,0.0153,0.0153,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57
109,Thorntonbank - C-Power - Area NE,WT,WI,147.6,0,0,0,0,0,0,3.6,0,0,0,0,1
110,T-power Beringen,CCGT,NG,422,0.56,0.025,0.025,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57
111,AllSol,PV,SOL,0,0,0,0,0,0,0,3.6,0,0,0,0,1
