Indice,unit,type,fuel,pmax,part-load,rampup,rampdown,startup,minuptime,mindowntime,heatrate,noloadcost,startupcost,fuelcost,variablecost,efficiency
1,ANGLEUR TG 41,GT,NG,64,0.4,0.128,0.128,0.25,0,0,8.780487805,0,0,9.76125,85.70853659,0.41
2,ANGLEUR TG 42,GT,NG,64,0.4,0.128,0.128,0.25,0,0,8.780487805,0,0,9.76125,85.70853659,0.41
3,ANGLEUR TGV3,CCGT,NG,110,0.31,0.0153,0.0153,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57
4,HAM-GENT WKK,CCGT,NG,52,0.8,0.025,0.025,1,5,1,6.315789474,0,0,11.60266667,73.28,0.57
5,HAM31,GT,NG,52,0.4,0.128,0.128,0.25,0,0,10.28571429,0,0,9.76125,100.4014286,0.35
6,HAM32,GT,NG,52,0.4,0.128,0.128,0.25,0,0,10.28571429,0,0,9.76125,100.4014286,0.35
7,HU AMPSIN-NEUVILLE,HU,WA,9.9,0,0,0,0,0,0,3.6,0,0,0,0,1
8,HU ANDENNE,HU,WA,9,0,0,0,0,0,0,3.6,0,0,0,0,1
9,HU FLORIFFOUX,HU,WA,0.8,0,0,0,0,0,0,3.6,0,0,0,0,1
10,HU GRAND-MALADES,HU,WA,5,0,0,0,0,0,0,3.6,0,0,0,0,1
11,HU IVOZ-RAMET,HU,WA,10,0,0,0,0,0,0,3.6,0,0,0,0,1
12,HU LIXHE,HU,WA,20,0,0,0,0,0,0,3.6,0,0,0,0,1
13,HU MONSIN,HU,WA,19.7,0,0,0,0,0,0,3.6,0,0,0,0,1
14,IZEGEM,WKK,NG,22,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2
15,RINGVAART STEG,CCGT,NG,357,0.45,0.0286,0.0286,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57
16,SERAING TGV,CCGT,NG,485,0.46,0.0444,0.0444,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57
17,Taminco (Gent) WKK,WKK,NG,6.3,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2
18,Aalst Syral GT,WKK,NG,43,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2
19,Aalst Syral ST,WKK,NG,5,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2
20,AALTER TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2
21,Amercoeur 1 R TGV,CCGT,NG,451,0.56,0.025,0.025,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57
22,AWIRS 4,CL,WP,95,0.5,0.02,0.02,2,5,1,9,0,0,7.825937393,70.43343653,0.4
23,BEERSE TJ,TJ,LV,32,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2
24,Belwind Phase 1,WT,WI,165,0,0,0,0,0,0,3.6,0,0,0,0,1
25,BEVERCE 1,HU,WA,3.1,0,0,0,0,0,0,3.6,0,0,0,0,1
26,BEVERCE 2,HU,WA,3.1,0,0,0,0,0,0,3.6,0,0,0,0,1
27,BEVERCE 3,HU,WA,3.1,0,0,0,0,0,0,3.6,0,0,0,0,1
28,Beveren 2 Indaver,IS,WR,20,0,0,0,0,0,0,3.6,0,0,0,0,1
29,Beveren Ineos Phenolchemie,WKK,NG,22.8,0,0,0,0,0,0,3.6,0,0,0,0,1
30,Beveren Sleco,IS,WR,54,0,0,0,0,0,0,3.6,0,0,0,0,1
31,BUDA TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2
32,BUTGENBACH,HU,WA,1.8,0,0,0,0,0,0,3.6,0,0,0,0,1
33,CIERREUX TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2
34,COO I T,HUSTO,WA,474,0.43,0.33,0.33,0.3,0,0,3.6,0,0,0,0,1
35,COO II T,HUSTO,WA,690,0.43,0.33,0.33,0.3,0,0,3.6,0,0,0,0,1
36,Deux-Acren TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2
37,DOEL 1,NU,NU,433,0.46,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33
38,DOEL 2,NU,NU,433,0.46,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33
39,DOEL 3,NU,NU,1006,0.5,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33
40,DOEL 4,NU,NU,1038,0.5,0.02,0.02,72,24,24,10.90909091,0,0,0.85525,9.33,0.33
41,DROGENBOS DM 51,D,GO,2.5,0.1,0.07,0.07,0.25,0,0,9,0,0,18,162,0.4
42,DROGENBOS DM 52,D,GO,2.5,0.1,0.07,0.07,0.25,0,0,9,0,0,18,162,0.4
43,DROGENBOS GT0,GT,NG,48,0.4,0.128,0.128,0.25,0,0,10.28571429,0,0,9.76125,100.4014286,0.35
44,DROGENBOS TGV,CCGT,NG,460,0.46,0.0444,0.0444,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57
45,ESCH-SUR-ALZETTE STEG,CCGT,NG,376.4,0.56,0.025,0.025,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57
46,Froidchapelle Wind,WT,WI,25,0,0,0,0,0,0,3.6,0,0,0,0,1
47,HEID-DE-GOREUX 1,HU,WA,4,0,0,0,0,0,0,3.6,0,0,0,0,1
48,HEID-DE-GOREUX 2,HU,WA,4,0,0,0,0,0,0,3.6,0,0,0,0,1
49,HERDERSBRUG STEG,CCGT,NG,460,0.46,0.0444,0.0444,2,5,1,6.315789474,0,0,11.60266667,73.28,0.57
50,HERDERSBRUG WIND,WT,WI,3,0,0,0,0,0,0,3.6,0,0,0,0,1
51,IVBO,IS,WR,16,0,0,0,0,0,0,3.6,0,0,0,0,1
52,IXELLES TJ,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,18,0,0,9.76125,175.7025,0.2
53,Jemeppe-sur-Sambre GT1,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1
54,Jemeppe-sur-Sambre GT2,WKK,NG,43,0,0,0,0,0,0,3.6,0,0,0,0,1
55,Jemeppe-sur-Sambre ST,WKK,NG,8,0,0,0,0,0,0,3.6,0,0,0,0,1
56,La Vierre,HU,WA,1.9,0.43,0.33,0.33,0.3,0,0,3.6,0,0,0,0,1
