PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
300,AGIOS DIMITRIOS 1,EL,STUR,LIG,0.39,6,6,0.01,0.015,20400,0,0,0.75,0.195,1,0.92,,,,,,
300,AGIOS DIMITRIOS 2,EL,STUR,LIG,0.39,6,6,0.01,0.015,20400,0,0,0.75,0.195,1,0.92,,,,,,
310,AGIOS DIMITRIOS 3,EL,STUR,LIG,0.39,6,6,0.01,0.015,21080,0,0,0.75,0.195,1,0.92,,,,,,
310,AGIOS DIMITRIOS 4,EL,STUR,LIG,0.39,6,6,0.01,0.015,21080,0,0,0.75,0.195,1,0.92,,,,,,
366.5,AGIOS DIMITRIOS 5,EL,STUR,LIG,0.39,6,6,0.01,0.015,24922,0,0,0.75,0.195,1,0.92,,,,,,
160,AGIOS GEORGIOS 8,EL,STUR,GAS,0.39,1,1,0.04,0.05,5760,0,0,0.2,0.195,1,0.365,,,,,,
200,AGIOS GEORGIOS 9,EL,STUR,GAS,0.39,1,1,0.04,0.05,7200,0,0,0.2,0.195,1,0.365,,,,,,
150,ALIVERI 3,EL,STUR,OIL,0.39,1,1,0.04,0.05,5400,0,0,0.2,0.195,1,0.79,,,,,,
150,ALIVERI 4,EL,STUR,OIL,0.39,1,1,0.04,0.05,5400,0,0,0.2,0.195,1,0.79,,,,,,
427,ALIVERI 5 CC 1,EL,COMC,GAS,0.55,1,2,0.07,0.07,19215,0,0,0.4,0.275,1,0.365,,,,,,
300,AMYNTAIO 2,EL,STUR,LIG,0.39,6,6,0.01,0.015,20400,0,0,0.75,0.195,1,0.92,,,,,,
300,AMYNTAIO 1,EL,STUR,LIG,0.39,6,6,0.01,0.015,20400,0,0,0.75,0.195,1,0.92,,,,,,
300,KARDIA 1,EL,STUR,LIG,0.39,6,6,0.01,0.015,20400,0,0,0.75,0.195,1,0.92,,,,,,
300,KARDIA 3,EL,STUR,LIG,0.39,6,6,0.01,0.015,20400,0,0,0.75,0.195,1,0.92,,,,,,
300,KARDIA 2,EL,STUR,LIG,0.39,6,6,0.01,0.015,20400,0,0,0.75,0.195,1,0.92,,,,,,
300,KARDIA 4,EL,STUR,LIG,0.39,6,6,0.01,0.015,20400,0,0,0.75,0.195,1,0.92,,,,,,
500,[KOMOTINI-1 GT 1;KOMOTINI-1 GT 2;KOMOTINI-1 SC 1],EL,COMC,GAS,0.55,1,2,0.07,0.07,22500,0,0,0.4,0.275,1,0.365,,,,,,
107,[LAVRIO HERON GT 1;LAVRIO HERON GT 2;LAVRIO HERON GT 3;LAVRIO HERON GT 4;LAVRIO HERON GT 5],EL,GTUR,OIL,0.33,1,1,0.15,0.15,3852,0,0,0.2,0.165,1,0.79,,,,,,
450,[LAVRIO-II NO 1;LAVRIO-II NO 2],EL,STUR,OIL,0.39,1,1,0.04,0.05,16200,0,0,0.2,0.195,1,0.79,,,,,,
114,[LAVRIO-III GT 5;LAVRIO-III GT 6],EL,GTUR,GAS,0.55,1,1,0.04,0.05,4104,0,0,0.2,0.275,1,0.365,,,,,,
570,[LAVRIO-IV GT 1;LAVRIO-IV GT 2;LAVRIO-IV GT 3;LAVRIO-IV SC 1],EL,COMC,GAS,0.55,1,2,0.07,0.07,25650,0,0,0.4,0.275,1,0.365,,,,,,
378,LAVRIO-V CC 1,EL,COMC,GAS,0.55,1,2,0.07,0.07,17010,0,0,0.4,0.275,1,0.365,,,,,,
125,MEGALOPOLIS-A NO 2,EL,STUR,LIG,0.39,6,6,0.01,0.015,8500,0,0,0.75,0.195,1,0.92,,,,,,
300,MEGALOPOLIS-A NO 3,EL,STUR,LIG,0.39,6,6,0.01,0.015,20400,0,0,0.75,0.195,1,0.92,,,,,,
310,MEGALOPOLIS-A NO 4,EL,STUR,LIG,0.39,6,6,0.01,0.015,21080,0,0,0.75,0.195,1,0.92,,,,,,
125,MEGALOPOLIS-A NO 1,EL,STUR,LIG,0.39,6,6,0.01,0.015,8500,0,0,0.75,0.195,1,0.92,,,,,,
330,FLORINA 1,EL,STUR,LIG,0.39,6,6,0.01,0.015,22440,0,0,0.75,0.195,1,0.92,,,,,,
70,PTOLEMAIS 1,EL,STUR,LIG,0.39,6,6,0.01,0.015,4760,0,0,0.75,0.195,1,0.92,,,,,,
125,PTOLEMAIS 2,EL,STUR,LIG,0.39,6,6,0.01,0.015,8500,0,0,0.75,0.195,1,0.92,,,,,,
125,PTOLEMAIS 3,EL,STUR,LIG,0.39,6,6,0.01,0.015,8500,0,0,0.75,0.195,1,0.92,,,,,,
300,PTOLEMAIS 4,EL,STUR,LIG,0.39,6,6,0.01,0.015,20400,0,0,0.75,0.195,1,0.92,,,,,,
334,[AGIOS NIKOLAOS POWER CC-1 GT 1;AGIOS NIKOLAOS POWER CC-1 GT 2;AGIOS NIKOLAOS POWER CC-1 SC 1],EL,COMC,GAS,0.55,1,2,0.07,0.07,15030,0,0,0.4,0.275,1,0.365,,,,,,
445,[THISVI ELPEDISON GT 1;THISVI ELPEDISON SC 1],EL,COMC,GAS,0.55,1,2,0.07,0.07,20025,0,0,0.4,0.275,1,0.365,,,,,,
400,[THESSALONIKI POWER GT 1;THESSALONIKI POWER SC 1],EL,COMC,GAS,0.55,1,2,0.07,0.07,18000,0,0,0.4,0.275,1,0.365,,,,,,
435,THIVA HERON-2 CC 1,EL,COMC,GAS,0.55,1,2,0.07,0.07,19575,0,0,0.4,0.275,1,0.365,,,,,,
