,UK_P2HT_OTH,UK_STUR_BIO_CHP,UK_COMC_GAS_CHP
2016-01-01 00:00:00,13295.755220204073,822.4392801896233,182.69794536335735
2016-01-01 01:00:00,14175.740756066813,876.8727936460423,194.78989100231502
2016-01-01 02:00:00,14456.441349302238,894.2361694021286,198.64701839350369
2016-01-01 03:00:00,16262.233726093138,1005.9375777044557,223.46054357717856
2016-01-01 04:00:00,20590.723465226085,1273.68618817459,282.9386378086566
2016-01-01 05:00:00,28753.770922747375,1778.6301168139819,395.1076702323619
2016-01-01 06:00:00,34555.75837752748,2137.5252910217196,474.8332043939355
2016-01-01 07:00:00,33429.34802780897,2067.8486083604075,459.35511735628654
2016-01-01 08:00:00,31866.733285774728,1971.189507589702,437.8831138456979
2016-01-01 09:00:00,29476.087873463737,1823.3106801349127,405.0330803058318
2016-01-01 10:00:00,27561.334598013327,1704.8692467961614,378.7223154407444
2016-01-01 11:00:00,26189.942625149753,1620.0386667847438,359.87791799356194
2016-01-01 12:00:00,25558.546689208877,1580.9822303153983,351.20186023703224
2016-01-01 13:00:00,25239.962339816997,1561.2754683711516,346.82416938045185
2016-01-01 14:00:00,25514.529372531855,1578.2594387443924,350.5970150677198
2016-01-01 15:00:00,26164.68678771212,1618.4764093259698,359.53087568330074
2016-01-01 16:00:00,27385.986926660607,1694.0227164395317,376.3128502580738
2016-01-01 17:00:00,28798.149037102077,1781.3752263486845,395.7174731489637
2016-01-01 18:00:00,29364.601391060463,1816.4144293526115,403.5011363933932
2016-01-01 19:00:00,29658.651498370073,1834.6035697654775,407.5417004342912
2016-01-01 20:00:00,28823.7656722174,1782.9598017711553,396.0694732065143
2016-01-01 21:00:00,25822.650589271005,1597.3189797414332,354.8309312529064
2016-01-01 22:00:00,19468.281889962054,1204.2550031139424,267.51508599119154
2016-01-01 23:00:00,14900.944088204615,921.7319006765474,204.75496305410056
2016-01-02 00:00:00,15626.86901569778,966.6356436344461,214.72995060046497
2016-01-02 01:00:00,16676.068662392667,1031.5362820646494,229.1470797181726
2016-01-02 02:00:00,17011.971300313213,1052.3143062663412,233.7627424446464
2016-01-02 03:00:00,19129.853668297746,1183.3207531663734,262.8647190336917
2016-01-02 04:00:00,24184.268334923858,1495.973106594406,332.31780081153414
