,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
HR_STUR_GEO,HR_STUR_GEO,37.833333333333336,6.0,HR,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,,
HR_STUR_LIG,HR_STUR_LIG,547.5,2.0,HR,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,,
HR_COMC_GAS,HR_COMC_GAS,378.99999999999994,8.0,HR,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,
HR_HDAM_WAT,HR_HDAM_WAT,1532.9999999999998,1,HR,HDAM,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,1247290.0,0.0,0.0,0.9,
HR_HPHS_WAT,HR_HPHS_WAT,320.99999999999994,1,HR,HPHS,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,1604.9999999999998,0.0,320.99999999999994,0.9,
HR_HROR_WAT,HR_HROR_WAT,314.99999999999994,1,HR,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
HR_WTON_WIN,HR_WTON_WIN,563.0,1,HR,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
HR_PHOT_SUN,HR_PHOT_SUN,3042.9999999999995,1,HR,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
HR_BATS_OTH,HR_BATS_OTH,179722.22222222225,1,HR,BATS,OTH,0.9,0,0,1.0,1.0,0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,,718888.888888889,0.0,0.0,0.9,
HR_BEVS_OTH,HR_BEVS_OTH,18008.0,1,HR,BEVS,OTH,0.7,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,73832.79999999999,0.0,18008.0,0.88,
HR_STUR_BIO_CHP,HR_STUR_BIO_CHP,170.0,1.0,HR,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4533.333333333333,0.03,,,
HR_COMC_GAS_CHP,HR_COMC_GAS_CHP,198.0,1.0,HR,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,2501.0526315789475,0.03,,,
