,[AGRAS 1;AGRAS 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[STRATOS-II NO 1;STRATOS-II NO 2],[SFIKIA 1;SFIKIA 2;SFIKIA 3],THISAVROS,[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[ASSOMATA 1;ASSOMATA 2],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],LADONAS,[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[STRATOS-I NO 1;STRATOS-I NO 2],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4]
2014/12/31 23:00,0.019505528,0.001881816,0.01012242,0.070085288,0.02725968,0.084102522,0.002561269,0.239746828,7.965859048,21.5269054,0.011332332,4.011674688,5.82973776,0.389734916,0.685301417,0.70418047,0.211814848,10.6638945,0.021236502,0.217939358,28.9384788
2015/01/01 00:00,0.019501755,0.001881524,0.010094221,0.069728094,0.027137666,0.084042967,0.002552566,0.239770065,7.957497067,21.5195799,0.011343889,3.99509544,5.803704517,0.390037603,0.685297149,0.703853611,0.213160277,10.63861846,0.021126748,0.21686131,28.87872391
2015/01/01 01:00,0.019497982,0.001881232,0.010066021,0.069370901,0.027015652,0.083983411,0.002543864,0.239793302,7.949135087,21.5122544,0.011355447,3.978516192,5.777671275,0.390340289,0.685292881,0.703526753,0.214505706,10.61334243,0.021016994,0.215783262,28.81896903
2015/01/01 02:00,0.019494209,0.00188094,0.010037822,0.069013707,0.026893638,0.083923856,0.002535161,0.23981654,7.940773106,21.5049289,0.011367004,3.961936944,5.751638032,0.390642976,0.685288613,0.703199894,0.215851135,10.58806639,0.02090724,0.214705213,28.75921414
2015/01/01 03:00,0.019490436,0.001880648,0.010009622,0.068656513,0.026771624,0.0838643,0.002526458,0.239839777,7.932411125,21.4976034,0.011378561,3.945357696,5.725604789,0.390945662,0.685284345,0.702873036,0.217196564,10.56279035,0.020797487,0.213627165,28.69945925
2015/01/01 04:00,0.019486663,0.001880356,0.009981423,0.06829932,0.02664961,0.083804745,0.002517755,0.239863015,7.924049145,21.4902779,0.011390118,3.928778448,5.699571547,0.391248349,0.685280077,0.702546177,0.218541993,10.53751431,0.020687733,0.212549117,28.63970436
2015/01/01 05:00,0.01948289,0.001880064,0.009953223,0.067942126,0.026527596,0.08374519,0.002509052,0.239886252,7.915687164,21.4829524,0.011401676,3.9121992,5.673538304,0.391551035,0.685275809,0.702219319,0.219887422,10.51223828,0.020577979,0.211471069,28.57994948
2015/01/01 06:00,0.019479117,0.001879772,0.009925024,0.067584932,0.026405581,0.083685634,0.00250035,0.23990949,7.907325183,21.4756269,0.011413233,3.895619952,5.647505061,0.391853722,0.685271542,0.70189246,0.221232851,10.48696224,0.020468225,0.210393021,28.52019459
2015/01/01 07:00,0.019475344,0.00187948,0.009896824,0.067227739,0.026283567,0.083626079,0.002491647,0.239932727,7.898963203,21.4683014,0.01142479,3.879040704,5.621471819,0.392156408,0.685267274,0.701565601,0.222578279,10.4616862,0.020358471,0.209314973,28.4604397
2015/01/01 08:00,0.019471571,0.001879188,0.009868625,0.066870545,0.026161553,0.083566523,0.002482944,0.239955965,7.890601222,21.4609759,0.011436348,3.862461456,5.595438576,0.392459094,0.685263006,0.701238743,0.223923708,10.43641016,0.020248717,0.208236924,28.40068481
