,HE Ujmani,HDAM,HROR
2010-01-04 09:00:00+00:00,0.350329778,0.350329778,0.969379
2010-01-04 10:00:00+00:00,0.350831049,0.350831049,0.968682
2010-01-04 11:00:00+00:00,0.351330278,0.351330278,0.967984
2010-01-04 12:00:00+00:00,0.351827466,0.351827466,0.967287
2010-01-04 13:00:00+00:00,0.352322612,0.352322612,0.966589
2010-01-04 14:00:00+00:00,0.352815716,0.352815716,0.965797
2010-01-04 15:00:00+00:00,0.352855076,0.352855076,0.964948
2010-01-04 16:00:00+00:00,0.352892395,0.352892395,0.964099
2010-01-04 17:00:00+00:00,0.352927671,0.352927671,0.96325
2010-01-04 18:00:00+00:00,0.352960907,0.352960907,0.962402
2010-01-04 19:00:00+00:00,0.353397988,0.353397988,0.961553
2010-01-04 20:00:00+00:00,0.353878843,0.353878843,0.960704
2010-01-04 21:00:00+00:00,0.353905953,0.353905953,0.959855
2010-01-04 22:00:00+00:00,0.354382725,0.354382725,0.959007
2010-01-04 23:00:00+00:00,0.354406719,0.354406719,0.958158
2010-01-05 00:00:00+00:00,0.354881341,0.354881341,0.957928
2010-01-05 01:00:00+00:00,0.355354888,0.355354888,0.957698
2010-01-05 02:00:00+00:00,0.35582736,0.35582736,0.957468
2010-01-05 03:00:00+00:00,0.356298758,0.356298758,0.957238
2010-01-05 04:00:00+00:00,0.356769081,0.356769081,0.957008
2010-01-05 05:00:00+00:00,0.356786627,0.356786627,0.956778
2010-01-05 06:00:00+00:00,0.356803097,0.356803097,0.956549
2010-01-05 07:00:00+00:00,0.356818493,0.356818493,0.956319
2010-01-05 08:00:00+00:00,0.357284517,0.357284517,0.956089
2010-01-05 09:00:00+00:00,0.357749467,0.357749467,0.955859
2010-01-05 10:00:00+00:00,0.357761638,0.357761638,0.955629
2010-01-05 11:00:00+00:00,0.357772735,0.357772735,0.955399
2010-01-05 12:00:00+00:00,0.357782757,0.357782757,0.955169
2010-01-05 13:00:00+00:00,0.357791705,0.357791705,0.954939
2010-01-05 14:00:00+00:00,0.357799577,0.357799577,0.954709
2010-01-05 15:00:00+00:00,0.358258078,0.358258078,0.954479
2010-01-05 16:00:00+00:00,0.358406121,0.358406121,0.954249
2010-01-05 17:00:00+00:00,0.35841077,0.35841077,0.954019
2010-01-05 18:00:00+00:00,0.358414343,0.358414343,0.95379
2010-01-05 19:00:00+00:00,0.358416842,0.358416842,0.95356
2010-01-05 20:00:00+00:00,0.358869969,0.358869969,0.95333
2010-01-05 21:00:00+00:00,0.359322022,0.359322022,0.9531
2010-01-05 22:00:00+00:00,0.359321296,0.359321296,0.95287
2010-01-05 23:00:00+00:00,0.359321306,0.359321306,0.95264
2010-01-06 00:00:00+00:00,0.359773755,0.359773755,0.952733
2010-01-06 01:00:00+00:00,0.360226938,0.360226938,0.952827
2010-01-06 02:00:00+00:00,0.360680857,0.360680857,0.952921
2010-01-06 03:00:00+00:00,0.361135512,0.361135512,0.953014
2010-01-06 04:00:00+00:00,0.361590901,0.361590901,0.953108
2010-01-06 05:00:00+00:00,0.361595323,0.361595323,0.953201
2010-01-06 06:00:00+00:00,0.362052184,0.362052184,0.953293
2010-01-06 07:00:00+00:00,0.362058076,0.362058076,0.953303
2010-01-06 08:00:00+00:00,0.362064705,0.362064705,0.953314
2010-01-06 09:00:00+00:00,0.362523771,0.362523771,0.953324
2010-01-06 10:00:00+00:00,0.36253187,0.36253187,0.953335
2010-01-06 11:00:00+00:00,0.362540704,0.362540704,0.953346
2010-01-06 12:00:00+00:00,0.362550274,0.362550274,0.953356
2010-01-06 13:00:00+00:00,0.362560579,0.362560579,0.953367
2010-01-06 14:00:00+00:00,0.362571619,0.362571619,0.953377
2010-01-06 15:00:00+00:00,0.362583394,0.362583394,0.953388
2010-01-06 16:00:00+00:00,0.362595905,0.362595905,0.953398
2010-01-06 17:00:00+00:00,0.363060855,0.363060855,0.953409
