,PT_P2HT_OTH,PT_STUR_BIO_CHP,PT_COMC_GAS_CHP
2016-06-25 08:00:00,476.7878427411442,277.53341103082664,34.028436936707315
2016-06-25 09:00:00,444.9453777317179,258.9982321997385,31.755834291780292
2016-06-25 10:00:00,433.4820903283243,252.32556782054675,30.937697339606565
2016-06-25 11:00:00,419.89597192430244,244.41722485261576,29.968053544437698
2016-06-25 12:00:00,354.0882109048212,206.1111886017003,25.27134141158852
2016-06-25 13:00:00,343.04948970155345,199.6856599402564,24.483505828013815
2016-06-25 14:00:00,312.9052894926299,182.1390239801596,22.332108657482898
2016-06-25 15:00:00,332.01076849828564,193.26013127881248,23.69567024443911
2016-06-25 16:00:00,370.2217265095974,215.50234587611828,26.422793418351546
2016-06-25 17:00:00,369.7971603094717,215.25521015837043,26.392492049752516
2016-06-25 18:00:00,396.1202647172641,230.57762465873668,28.271176902892194
2016-06-25 19:00:00,416.49944232329693,242.44013911063305,29.725642595645485
2016-06-25 20:00:00,373.19368991047713,217.23229590035314,26.634902998544728
2016-06-25 21:00:00,279.36455968270076,162.6153022780801,19.93830053815977
2016-06-25 22:00:00,174.07214205153082,101.32564427661524,12.423561125601069
2016-06-25 23:00:00,121.00136703582024,70.433679558135,8.635890050722695
2016-06-26 00:00:00,138.4085812409733,80.56624398579652,9.878246163282801
2016-06-26 01:00:00,133.73835303959075,77.84775109057024,9.544931108693504
2016-06-26 02:00:00,151.99469964499525,88.47458695372747,10.847889958451667
2016-06-26 03:00:00,246.2483960728973,143.3387162937484,17.57479378743566
2016-06-26 04:00:00,495.04418934654865,288.16024689398387,35.33139578646548
2016-06-26 05:00:00,642.3686607901614,373.916340952485,45.845970690327846
2016-06-26 06:00:00,610.1016295806093,355.13402640364905,43.5430666768018
2016-06-26 07:00:00,482.73176954290375,280.9933110792964,34.4526560970937
2016-06-26 08:00:00,463.62629053724805,269.87220378064353,33.089094510137485
2016-06-26 09:00:00,433.05752412819874,252.0784321027989,30.90739597100754
2016-06-26 10:00:00,422.8679353251822,246.14717487685067,30.180163124630887
2016-06-26 11:00:00,409.28181692116027,238.23883190891974,29.210519329462027
2016-06-26 12:00:00,344.7477545020562,200.67420281124777,24.604711302409925
2016-06-26 13:00:00,334.1335994989141,194.49580986755169,23.847177087434247
2016-06-26 14:00:00,304.8385316902418,177.44344534295058,21.756382654101387
2016-06-26 15:00:00,323.51944449577195,188.31741692385563,23.089642872458572
2016-06-26 16:00:00,360.88127010683223,210.06536008566573,25.756163309172948
2016-06-26 17:00:00,360.4567039067065,209.81822436791788,25.72586194057392
2016-06-26 18:00:00,385.9306759142476,224.64636743278842,27.543944056515542
2016-06-26 19:00:00,405.8852873201548,236.26174616693703,28.968108380669815
2016-06-26 20:00:00,362.57953490733496,211.0539029566571,25.877368783569057
2016-06-26 21:00:00,271.7223680804384,158.16685935861895,19.39287590337728
2016-06-26 22:00:00,168.9773476500226,98.36001566364114,12.059944702412746
2016-06-26 23:00:00,120.15223463556886,69.9394081226393,8.57528731352464
2016-06-27 00:00:00,137.55944884072193,80.07197255030083,9.817643426084746
2016-06-27 01:00:00,132.46465443921372,77.10634393732671,9.454027002896423
2016-06-27 02:00:00,149.4473024442411,86.9917726472404,10.666081746857502
2016-06-27 03:00:00,242.42730027176614,141.11449483401785,17.30208147004442
2016-06-27 04:00:00,492.4967921457946,286.6774325874968,35.14958757487132
2016-06-27 05:00:00,640.245829789533,372.68066236374585,45.69446384733272
2016-06-27 06:00:00,607.978798579981,353.89834781490987,43.39155983380667
2016-06-27 07:00:00,478.48610754164696,278.521953901818,34.14964241110343
2016-06-27 08:00:00,460.65432713636824,268.14225375640865,32.87698492994429
2016-06-27 09:00:00,432.632957928073,251.83129638505108,30.877094602408516
2016-06-27 10:00:00,423.71706772543365,246.64144631234637,30.240765861828944
2016-06-27 11:00:00,409.70638312128597,238.48596762666756,29.24082069806105
2016-06-27 12:00:00,345.1723207021819,200.9213385289956,24.63501267100895
2016-06-27 13:00:00,335.8318642994168,195.48435273854304,23.968382561830353
2016-06-27 14:00:00,306.5367964907445,178.43198821394193,21.877588128497493
2016-06-27 15:00:00,325.6422754964004,189.55309551259487,23.24114971545371
2016-06-27 16:00:00,363.42866730758635,211.54817439215282,25.937971520767114
2016-06-27 17:00:00,360.4567039067065,209.81822436791788,25.72586194057392
2016-06-27 18:00:00,386.779808314499,225.14063886828413,27.6045467937136
2016-06-27 19:00:00,408.0081183207833,237.4974247556762,29.119615223664944
2016-06-27 20:00:00,363.00410110746066,211.30103867440496,25.907670152168084
2016-06-27 21:00:00,271.7223680804384,158.16685935861895,19.39287590337728
2016-06-27 22:00:00,170.2510462503997,99.10142281688466,12.150848808209826
2016-06-27 23:00:00,118.8785360351918,69.19800096939578,8.48438320772756
2016-06-28 00:00:00,134.58748543984214,78.34202252606593,9.605533845891559
2016-06-28 01:00:00,129.49269103833393,75.37639391309183,9.241917422703235
2016-06-28 02:00:00,146.05077284323562,85.01468690525766,10.423670798065286
2016-06-28 03:00:00,236.48337347000654,137.65459478554803,16.87786230965804
2016-06-28 04:00:00,479.759806142024,279.2633610550615,34.24054651690051
2016-06-28 05:00:00,621.5649169840027,361.80669078284075,44.361203628975524
2016-06-28 06:00:00,601.6103055780956,350.1913120486922,42.93703930482126
2016-06-28 07:00:00,477.21240894126987,277.78054674857447,34.05873830530635
2016-06-28 08:00:00,458.95606233586545,267.15371088541724,32.75577945554818
2016-06-28 09:00:00,429.6609945271932,250.10134636081614,30.66498502221532
2016-06-28 10:00:00,417.3485747235483,242.93441054612876,29.786245332843542
2016-06-28 11:00:00,402.48875771914936,234.2846604249543,28.7256974318776
2016-06-28 12:00:00,341.77579110117637,198.94425278701283,24.39260172221673
2016-06-28 13:00:00,329.0388050974058,191.5301812545776,23.483560664245925
2016-06-28 14:00:00,303.14026688973905,176.45490247195923,21.63517717970528
2016-06-28 15:00:00,320.9720472950179,186.8346026173686,22.907834660864413
2016-06-28 16:00:00,359.1830053063295,209.07681721467438,25.63495783477684
2016-06-28 17:00:00,359.1830053063295,209.07681721467438,25.63495783477684
2016-06-28 18:00:00,385.9306759142476,224.64636743278842,27.543944056515542
2016-06-28 19:00:00,404.18702251965203,235.27320329594565,28.846902906273705
2016-06-28 20:00:00,361.3058363069579,210.31249580341358,25.786464677771978
2016-06-28 21:00:00,268.3258384794329,156.18977361663616,19.15046495458506
2016-06-28 22:00:00,167.2790828495199,97.37147279264977,11.938739228016638
2016-06-28 23:00:00,128.21899243795684,74.63498675984829,9.151013316906154
2016-06-29 00:00:00,133.3137868394651,77.60061537282242,9.51462974009448
2016-06-29 01:00:00,123.12419803644865,71.6693581468742,8.78739689371783
2016-06-29 02:00:00,138.4085812409733,80.56624398579652,9.878246163282801
2016-06-29 03:00:00,223.74638746623597,130.24052325311277,15.968821251687228
2016-06-29 04:00:00,431.78382552782165,251.3370249495554,30.81649186521046
2016-06-29 05:00:00,602.0348717782213,350.43844776644005,42.96734067342028
2016-06-29 06:00:00,578.6837307713087,336.8459832903087,41.30076540047379
2016-06-29 07:00:00,469.5702173390076,273.33210382911335,33.513313670523864
2016-06-29 08:00:00,439.426017130084,255.78546786901654,31.361916499992947
2016-06-29 09:00:00,414.8011775227943,241.4515962396417,29.60443712124938
2016-06-29 10:00:00,387.62894071475034,225.63491030377978,27.66514953091165
2016-06-29 11:00:00,384.23241111374483,223.65782456179704,27.42273858211943
2016-06-29 12:00:00,332.01076849828564,193.26013127881248,23.69567024443911
2016-06-29 13:00:00,333.70903329878837,194.24867414980386,23.816875718835224
2016-06-29 14:00:00,300.59286968898493,174.97208816547217,21.453368968111114
2016-06-29 15:00:00,318.84921629438946,185.59892402862937,22.756327817869273
2016-06-29 16:00:00,351.54081370406715,204.62837429521323,25.089533199994356
2016-06-29 17:00:00,341.77579110117637,198.94425278701283,24.39260172221673
2016-06-29 18:00:00,367.2497631087175,213.77239585188337,26.210683838158353
2016-06-29 19:00:00,380.83588151273943,221.68073881981434,27.18032763332722
2016-06-29 20:00:00,349.4179827034387,203.392695706474,24.938026356999217
2016-06-29 21:00:00,255.58885247566235,148.7757020842009,18.241423896614254
2016-06-29 22:00:00,158.7877588470062,92.42875843769292,11.332711856036097
2016-06-29 23:00:00,118.02940363494042,68.70372953390009,8.423780470529506
2016-06-30 00:00:00,137.13488264059626,79.82483683255298,9.78734205748572
2016-06-30 01:00:00,140.9559784417274,82.04905829228355,10.060054374876962
2016-06-30 02:00:00,184.68629705467296,107.5040372203113,13.181095340576746
2016-06-30 03:00:00,278.09086108232367,161.87389512483654,19.847396432362686
2016-06-30 04:00:00,473.8158793402644,275.80346100659176,33.81632735651414
2016-06-30 05:00:00,553.2097587637676,322.0178402254382,39.48268328453218
2016-06-30 06:00:00,544.2938685611282,316.82799015273355,38.846354543952614
2016-06-30 07:00:00,420.7451043245539,244.91149628811146,30.028656281635755
2016-06-30 08:00:00,402.913323919275,234.5317961427021,28.75599880047662
