,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
DE_STUR_GEO,DE_STUR_GEO,39.91935483870968,62.0,DE,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,,
DE_STUR_LIG,DE_STUR_LIG,584.1428571428572,7.0,DE,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,,
DE_COMC_GAS,DE_COMC_GAS,419.1241379310345,290.0,DE,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,
DE_COMC_OIL,DE_COMC_OIL,115.66451612903224,1,DE,COMC,OIL,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
DE_STUR_OIL,DE_STUR_OIL,133.33548387096772,1.0,DE,STUR,OIL,0.33,5,5,0.02,0.02,120,0.0,1.8,0.4,0.33,1.0,0.7246,,,,,,,,,,,,
DE_HDAM_WAT,DE_HDAM_WAT,1165.9999999999998,1,DE,HDAM,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,1735630.76,0.0,0.0,0.9,
DE_HPHS_WAT,DE_HPHS_WAT,274.99999999999994,1,DE,HPHS,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,1374.9999999999998,0.0,274.99999999999994,0.9,
DE_HROR_WAT,DE_HROR_WAT,3617.999999999999,1,DE,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
DE_WTOF_WIN,DE_WTOF_WIN,105545.00000000001,1,DE,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
DE_WTON_WIN,DE_WTON_WIN,106972.0,1,DE,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
DE_PHOT_SUN,DE_PHOT_SUN,267570.0,1,DE,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
DE_BATS_OTH,DE_BATS_OTH,12067500.0,1,DE,BATS,OTH,0.9,0,0,1.0,1.0,0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,,48270000.0,0.0,0.0,0.9,
DE_BEVS_OTH,DE_BEVS_OTH,347003.0,1,DE,BEVS,OTH,0.7,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,1422712.2999999998,0.0,347003.0,0.88,
DE_STUR_BIO_CHP,DE_STUR_BIO_CHP,178.12280701754386,57.0,DE,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4749.941520467836,0.03,,,
DE_STUR_OIL_CHP,DE_STUR_OIL_CHP,216.0,1.0,DE,STUR,OIL,0.33,5,5,0.02,0.02,120,0.0,1.8,0.4,0.33,1.0,0.7246,Extraction,0.45,0.11,,,,,5760.0,0.03,,,
DE_COMC_GAS_CHP,DE_COMC_GAS_CHP,405.9047619047619,21.0,DE,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,5127.218045112782,0.03,,,
