,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
DK_STUR_GEO,DK_STUR_GEO,34.833333333333336,6.0,DK,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,,
DK_COMC_GAS,DK_COMC_GAS,406.5416666666667,24.0,DK,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,
DK_COMC_BIO,DK_COMC_BIO,332.6666666666667,3.0,DK,COMC,BIO,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.211692827,,,,,,,,,,,,
DK_WTOF_WIN,DK_WTOF_WIN,1246.0,1,DK,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
DK_WTON_WIN,DK_WTON_WIN,46685.00000000001,1,DK,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
DK_PHOT_SUN,DK_PHOT_SUN,12772.0,1,DK,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
DK_BATS_OTH,DK_BATS_OTH,1342777.7777777778,1,DK,BATS,OTH,0.9,0,0,1.0,1.0,0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,,5371111.111111111,0.0,0.0,0.9,
DK_BEVS_OTH,DK_BEVS_OTH,34360.0,1,DK,BEVS,OTH,0.7,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,140876.0,0.0,34360.0,0.88,
DK_STUR_BIO_CHP,DK_STUR_BIO_CHP,168.66666666666666,3.0,DK,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4497.777777777777,0.03,,,
DK_STUR_HRD_CHP,DK_STUR_HRD_CHP,12.0,1.0,DK,STUR,HRD,0.42,6,6,0.04,0.04,65,12.5,1.8,0.182119205,0.46,2.0,0.4717,Extraction,0.45,0.256,,,,,320.0,0.03,,,
DK_COMC_GAS_CHP,DK_COMC_GAS_CHP,69.0,1.0,DK,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,871.578947368421,0.03,,,
