,SK_P2HT_OTH,SK_STUR_BIO_CHP,SK_COMC_GAS_CHP
2016-01-01 00:00:00,1781.1931001903965,1183.206026597164,567.3569881633942
2016-01-01 01:00:00,1806.0378043913674,1199.7097979942523,575.2706818251128
2016-01-01 02:00:00,1912.79623630445,1270.6269938985704,609.2760585497244
2016-01-01 03:00:00,2010.2071557458803,1335.334850069331,640.3040059758678
2016-01-01 04:00:00,2538.587597564548,1686.3259486925474,808.6071147419183
2016-01-01 05:00:00,3219.4800849733338,2138.627327179075,1025.4893331145565
2016-01-01 06:00:00,3063.5242189989226,2035.029395834979,975.8132758716907
2016-01-01 07:00:00,3022.69034872802,2007.904385419963,962.8066110415398
2016-01-01 08:00:00,2856.157034430423,1897.2800959563144,909.7613574872491
2016-01-01 09:00:00,2729.227654552196,1812.963798521687,869.3310017501533
2016-01-01 10:00:00,2640.9182604121115,1754.3018784072856,841.202130219887
2016-01-01 11:00:00,2544.737276822214,1690.4110406225193,810.5659498066999
2016-01-01 12:00:00,2498.9836631451785,1660.0179566635256,795.9922169247234
2016-01-01 13:00:00,2499.4756374857916,1660.3447640179238,796.1489237299061
2016-01-01 14:00:00,2573.763762918398,1709.6926745319888,819.8116513124701
2016-01-01 15:00:00,2645.346029477631,1757.2431445968655,842.6124914665298
2016-01-01 16:00:00,2706.350847713678,1797.7672565421904,862.0441353091651
2016-01-01 17:00:00,2636.244504176285,1751.1972085405066,839.7134155706528
2016-01-01 18:00:00,2630.586799259232,1747.4389239649322,837.9112873110536
2016-01-01 19:00:00,2550.3949817392668,1694.169325198094,812.3680780662992
2016-01-01 20:00:00,2377.9579753543107,1579.623347481672,757.4423428498183
2016-01-01 21:00:00,2131.724817877362,1416.0562666055828,679.0105868559557
2016-01-01 22:00:00,1840.7219954046038,1222.7497164792956,586.3185115904819
2016-01-01 23:00:00,1689.1938984957123,1122.0930513247793,538.052815594259
2016-01-02 00:00:00,1680.0923731943665,1116.0471152684202,535.1537396983819
2016-01-02 01:00:00,1706.9049747577906,1133.8581160830993,543.6942605808305
2016-01-02 02:00:00,1787.588766618369,1187.4545222043355,569.3941766307674
2016-01-02 03:00:00,1883.0317886973464,1250.855148957505,599.7952968361807
2016-01-02 04:00:00,2396.161025957002,1591.71521959439,763.2404946415722
2016-01-02 05:00:00,3067.951988064442,2037.970662024559,977.2236371183337
2016-01-02 06:00:00,2920.6056730507635,1940.0918593824235,930.2899489661622
2016-01-02 07:00:00,2884.691546185994,1916.234922511386,918.8503521878367
2016-01-02 08:00:00,2749.644589687647,1826.5263037291952,875.8343341652289
2016-01-02 09:00:00,2624.6831071718725,1743.517235712159,836.0308056488632
2016-01-02 10:00:00,2536.619700202095,1685.0187192749563,807.9802875211881
2016-01-02 11:00:00,2435.5189732060653,1617.8598079462124,775.7770390561757
2016-01-02 12:00:00,2391.7332568914826,1588.7739534048096,761.8301333949292
2016-01-02 13:00:00,2419.77579430644,1607.4019726054835,770.7624212903343
2016-01-02 14:00:00,2462.577561939796,1635.8342124380902,784.3959133412154
2016-01-02 15:00:00,2533.667854158415,1683.0578751485693,807.0400466900927
2016-01-02 16:00:00,2568.106058001345,1705.934389956414,818.0095230528707
2016-01-02 17:00:00,2548.919058717427,1693.1889031349003,811.8979576507514
2016-01-02 18:00:00,2519.1546111103235,1673.417058193835,802.4171959372078
2016-01-02 19:00:00,2436.010947546678,1618.1866153006104,775.9337458613583
2016-01-02 20:00:00,2276.857248358281,1512.4644361529279,725.2390943848056
2016-01-02 21:00:00,2006.7633353615875,1333.0471985885465,639.2070583395899
2016-01-02 22:00:00,1739.1292940679607,1155.263997796154,553.958556320287
2016-01-02 23:00:00,1690.4238343472455,1122.9100697107735,538.4445826072152
2016-01-03 00:00:00,1691.8997573690854,1123.8904917739671,538.914703022763
2016-01-03 01:00:00,1707.888923439017,1134.5117307918947,544.0076741911955
2016-01-03 02:00:00,1772.583549229664,1177.486897895203,564.6146190726998
2016-01-03 03:00:00,1866.3046611164946,1239.7436989079802,594.4672654599742
2016-01-03 04:00:00,2466.0213823240883,1638.1218639188744,785.4928609774931
2016-01-03 05:00:00,3137.3203700909153,2084.0504989946457,999.3192966490719
2016-01-03 06:00:00,2874.3600850331154,1909.3719680690326,915.5595092790034
2016-01-03 07:00:00,2794.1682675131497,1856.1023693021941,890.0163000342488
2016-01-03 08:00:00,2686.9178612594533,1784.8583660434779,855.8542165044546
2016-01-03 09:00:00,2534.8977900099485,1683.8748935345639,807.4318137030491
2016-01-03 10:00:00,2503.9034065513115,1663.2860302075037,797.559284976549
2016-01-03 11:00:00,2415.34802524092,1604.4607064159031,769.3520600436914
2016-01-03 12:00:00,2367.6265142014313,1572.7603930393184,754.1514999409846
2016-01-03 13:00:00,2319.659015991637,1540.896675985535,738.8725864356869
2016-01-03 14:00:00,2376.728039502778,1578.8063290956775,757.0505758368618
2016-01-03 15:00:00,2462.577561939796,1635.8342124380902,784.3959133412154
2016-01-03 16:00:00,2544.245302481601,1690.0842332681216,810.4092430015173
2016-01-03 17:00:00,2499.2296503154853,1660.181360340725,796.0705703273148
2016-01-03 18:00:00,2502.427483529472,1662.3056081443106,797.0891645610014
2016-01-03 19:00:00,2462.8235491101022,1635.9976161152888,784.4742667438065
2016-01-03 20:00:00,2318.1830929697967,1539.9162539223416,738.4024660201393
2016-01-03 21:00:00,2078.8375762614337,1380.9244760078213,662.1646052988324
2016-01-03 22:00:00,1781.9310617013166,1183.696237628761,567.5920483711683
2016-01-03 23:00:00,1801.3640481555412,1196.605128127473,573.7819671758785
2016-01-04 00:00:00,1787.834753788676,1187.6179258815341,569.4725300333587
2016-01-04 01:00:00,1794.4764073869553,1192.0298251659044,571.588071903323
2016-01-04 02:00:00,1838.2621237015378,1221.1156797073068,585.5349775645693
2016-01-04 03:00:00,1942.8066710818605,1290.562242516835,618.8351736658594
2016-01-04 04:00:00,2578.9294934948375,1713.1241517531653,821.4570727668867
2016-01-04 05:00:00,3033.2677970512054,2014.9307435395153,966.1758073529644
2016-01-04 06:00:00,2806.4676260284814,1864.2725531621388,893.9339701638125
2016-01-04 07:00:00,2706.1048605433716,1797.6038528649915,861.9657819065739
2016-01-04 08:00:00,2605.496107887954,1730.7717488906453,829.9192402467439
2016-01-04 09:00:00,2500.951560507632,1661.3251860811172,796.6190441454538
2016-01-04 10:00:00,2500.213598996712,1660.8349750495202,796.3839839376798
2016-01-04 11:00:00,2396.4070131273083,1591.8786232715886,763.3188480441634
2016-01-04 12:00:00,2372.5462576075643,1576.0284665832964,755.7185679928102
2016-01-04 13:00:00,2364.9206553280583,1570.9629525901305,753.2896125124806
2016-01-04 14:00:00,2440.930690952811,1621.4546888445877,777.5008139131835
2016-01-04 15:00:00,2539.3255590754675,1686.8161597241437,808.842174949692
2016-01-04 16:00:00,2622.7152098094193,1742.2100062945676,835.4039784281329
2016-01-04 17:00:00,2588.0310187961827,1719.1700878095244,824.3561486627638
