,HE Bistrica,HE Kokin Brod,HE Pirot,HE Potpec,RHE Bajina Basta G2,HE Uvac,HE Vrla 1-4
2009-12-31 23:00:00+00:00,0.196471218,0.371557643,0.298828372,0.10464,0.270498901,0.31524448,1.220740301
2010-01-01 00:00:00+00:00,0.196471218,0.371557643,0.298828372,0.10464,0.270498901,0.31524448,1.220740301
2010-01-01 01:00:00+00:00,0.196911341,0.37231969,0.297765854,0.105296344,0.271037106,0.314916948,1.217169232
2010-01-01 02:00:00+00:00,0.197351465,0.373081737,0.296703335,0.105952688,0.271575205,0.314589416,1.213598163
2010-01-01 03:00:00+00:00,0.197791589,0.373843784,0.295640817,0.106609032,0.272113199,0.314261884,1.210027094
2010-01-01 04:00:00+00:00,0.198231712,0.374605831,0.294578298,0.107265376,0.272651088,0.313934353,1.206456025
2010-01-01 05:00:00+00:00,0.198671836,0.375367878,0.29351578,0.10792172,0.27318887,0.313606821,1.202884956
2010-01-01 06:00:00+00:00,0.19911196,0.376129924,0.292453261,0.108578065,0.27372655,0.313279289,1.199313887
2010-01-01 07:00:00+00:00,0.199552084,0.376891971,0.291390743,0.109234409,0.274264124,0.312951757,1.195742818
2010-01-01 08:00:00+00:00,0.199992207,0.377654018,0.290328225,0.109890753,0.274801594,0.312624225,1.192171749
2010-01-01 09:00:00+00:00,0.200432331,0.378416065,0.289265706,0.110547097,0.27533896,0.312296694,1.18860068
2010-01-01 10:00:00+00:00,0.200872455,0.379178112,0.288203188,0.111203441,0.275876223,0.311969162,1.185029611
2010-01-01 11:00:00+00:00,0.201312578,0.379940159,0.287140669,0.111859785,0.276413383,0.31164163,1.181458542
2010-01-01 12:00:00+00:00,0.201752702,0.380702206,0.286078151,0.112516129,0.276950438,0.311314098,1.177887473
2010-01-01 13:00:00+00:00,0.202192826,0.381464253,0.285015633,0.113172473,0.277487391,0.310986567,1.174316404
2010-01-01 14:00:00+00:00,0.202632949,0.3822263,0.283953114,0.113828817,0.278024241,0.310659035,1.170745335
2010-01-01 15:00:00+00:00,0.203073073,0.382988347,0.282890596,0.114485161,0.278560989,0.310331503,1.167174265
2010-01-01 16:00:00+00:00,0.203513197,0.383750393,0.281828077,0.115141505,0.279097634,0.310003971,1.163603196
2010-01-01 17:00:00+00:00,0.20395332,0.38451244,0.280765559,0.115797849,0.279634178,0.309676439,1.160032127
2010-01-01 18:00:00+00:00,0.204393444,0.385274487,0.27970304,0.116454194,0.280170619,0.309348908,1.156461058
2010-01-01 19:00:00+00:00,0.204833568,0.386036534,0.278640522,0.117110538,0.280706959,0.309021376,1.152889989
2010-01-01 20:00:00+00:00,0.205273692,0.386798581,0.277578004,0.117766882,0.281243198,0.308693844,1.14931892
2010-01-01 21:00:00+00:00,0.205713815,0.387560628,0.276515485,0.118423226,0.281779335,0.308366312,1.145747851
2010-01-01 22:00:00+00:00,0.206153939,0.388322675,0.275452967,0.11907957,0.282315373,0.30803878,1.142176782
2010-01-01 23:00:00+00:00,0.206594063,0.389084722,0.274390448,0.119735914,0.282851308,0.307711249,1.138605713
2010-01-02 00:00:00+00:00,0.207034186,0.38948646,0.27356876,0.120392258,0.283193829,0.307137364,1.156860436
2010-01-02 01:00:00+00:00,0.20747431,0.389888199,0.272747071,0.121048602,0.28353631,0.30656348,1.175115159
2010-01-02 02:00:00+00:00,0.207914434,0.390289937,0.271925383,0.121704946,0.283878749,0.305989596,1.193369882
2010-01-02 03:00:00+00:00,0.208354557,0.390691676,0.271103694,0.12236129,0.284221148,0.305415711,1.211624605
2010-01-02 04:00:00+00:00,0.208794681,0.391093414,0.270282006,0.123017634,0.284563505,0.304841827,1.229879328
2010-01-02 05:00:00+00:00,0.209234805,0.391495152,0.269460317,0.123673978,0.284905823,0.304267943,1.248134051
2010-01-02 06:00:00+00:00,0.209674929,0.391896891,0.268638629,0.124330323,0.285248099,0.303694058,1.266388774
2010-01-02 07:00:00+00:00,0.210115052,0.392298629,0.26781694,0.124986667,0.285590334,0.303120174,1.284643497
2010-01-02 08:00:00+00:00,0.210555176,0.392700368,0.266995252,0.125643011,0.285932529,0.30254629,1.30289822
2010-01-02 09:00:00+00:00,0.2109953,0.393102106,0.266173563,0.126299355,0.286274684,0.301972405,1.321152943
2010-01-02 10:00:00+00:00,0.211435423,0.393503844,0.265351874,0.126955699,0.286616798,0.301398521,1.339407665
2010-01-02 11:00:00+00:00,0.211875547,0.393905583,0.264530186,0.127612043,0.286958871,0.300824637,1.357662388
2010-01-02 12:00:00+00:00,0.212315671,0.394307321,0.263708497,0.128268387,0.287300905,0.300250752,1.375917111
2010-01-02 13:00:00+00:00,0.212755794,0.39470906,0.262886809,0.128924731,0.287642898,0.299676868,1.394171834
2010-01-02 14:00:00+00:00,0.213195918,0.395110798,0.26206512,0.129581075,0.287984851,0.299102984,1.412426557
2010-01-02 15:00:00+00:00,0.213636042,0.395512536,0.261243432,0.130237419,0.288326764,0.298529099,1.43068128
2010-01-02 16:00:00+00:00,0.214076165,0.395914275,0.260421743,0.130893763,0.288668636,0.297955215,1.448936003
2010-01-02 17:00:00+00:00,0.214516289,0.396316013,0.259600055,0.131550108,0.289010469,0.297381331,1.467190726
2010-01-02 18:00:00+00:00,0.214956413,0.396717752,0.258778366,0.132206452,0.289352263,0.296807446,1.485445449
2010-01-02 19:00:00+00:00,0.215396537,0.39711949,0.257956678,0.132862796,0.289694015,0.296233562,1.503700172
2010-01-02 20:00:00+00:00,0.21583666,0.397521229,0.257134989,0.13351914,0.290035728,0.295659678,1.521954895
2010-01-02 21:00:00+00:00,0.216276784,0.397922967,0.2563133,0.134175484,0.290377401,0.295085793,1.540209618
2010-01-02 22:00:00+00:00,0.216716908,0.398324705,0.255491612,0.134831828,0.290719034,0.294511909,1.558464341
2010-01-02 23:00:00+00:00,0.217157031,0.398726444,0.254669923,0.135488172,0.291060628,0.293938025,1.576719064
2010-01-03 00:00:00+00:00,0.217597155,0.398360187,0.25392823,0.136144516,0.290582315,0.293262177,1.56572394
2010-01-03 01:00:00+00:00,0.218037279,0.39799393,0.253186536,0.13680086,0.290103924,0.292586328,1.554728816
2010-01-03 02:00:00+00:00,0.218477402,0.397627673,0.252444842,0.137457204,0.289625455,0.29191048,1.543733692
2010-01-03 03:00:00+00:00,0.218917526,0.397261416,0.251703148,0.138113548,0.289146908,0.291234632,1.532738567
2010-01-03 04:00:00+00:00,0.21935765,0.39689516,0.250961455,0.138769892,0.288668283,0.290558784,1.521743443
2010-01-03 05:00:00+00:00,0.219797774,0.396528903,0.250219761,0.139426237,0.288189578,0.289882936,1.510748319
2010-01-03 06:00:00+00:00,0.220237897,0.396162646,0.249478067,0.140082581,0.287710795,0.289207088,1.499753195
2010-01-03 07:00:00+00:00,0.220678021,0.395796389,0.248736374,0.140738925,0.287231934,0.28853124,1.488758071
2010-01-03 08:00:00+00:00,0.221118145,0.395430132,0.24799468,0.141395269,0.286752994,0.287855392,1.477762947
2010-01-03 09:00:00+00:00,0.221558268,0.395063876,0.247252986,0.142051613,0.286273974,0.287179544,1.466767823
2010-01-03 10:00:00+00:00,0.221998392,0.394697619,0.246511292,0.142707957,0.285794875,0.286503696,1.455772699
2010-01-03 11:00:00+00:00,0.222438516,0.394331362,0.245769599,0.143364301,0.285315696,0.285827848,1.444777575
2010-01-03 12:00:00+00:00,0.222878639,0.393965105,0.245027905,0.144020645,0.284836439,0.285152,1.43378245
2010-01-03 13:00:00+00:00,0.223318763,0.393598848,0.244286211,0.144676989,0.284357101,0.284476151,1.422787326
2010-01-03 14:00:00+00:00,0.223758887,0.393232591,0.243544517,0.145333333,0.283877683,0.283800303,1.411792202
2010-01-03 15:00:00+00:00,0.22419901,0.392866335,0.242802824,0.145989677,0.283398185,0.283124455,1.400797078
2010-01-03 16:00:00+00:00,0.224639134,0.392500078,0.24206113,0.146646022,0.282918608,0.282448607,1.389801954
2010-01-03 17:00:00+00:00,0.225079258,0.392133821,0.241319436,0.147302366,0.282438949,0.281772759,1.37880683
