,HE Bistrica,HE Kokin Brod,HE Pirot,HE Potpec,RHE Bajina Basta G2,HE Uvac,HE Vrla 1-4,
2009-12-31 23:00:00+00:00,0.196471218,0.371557643,0.298828372,0.10464,0.270498901,0.31524448,1.220740301,0.396854416
2010-01-01 00:00:00+00:00,0.196471218,0.371557643,0.298828372,0.10464,0.270498901,0.31524448,1.220740301,0.396854416
2010-01-01 01:00:00+00:00,0.196911341,0.37231969,0.297765854,0.105296344,0.271037106,0.314916948,1.217169232,0.396488074
2010-01-01 02:00:00+00:00,0.197351465,0.373081737,0.296703335,0.105952688,0.271575205,0.314589416,1.213598163,0.396121716
2010-01-01 03:00:00+00:00,0.197791589,0.373843784,0.295640817,0.106609032,0.272113199,0.314261884,1.210027094,0.395755343
2010-01-01 04:00:00+00:00,0.198231712,0.374605831,0.294578298,0.107265376,0.272651088,0.313934353,1.206456025,0.395388955
2010-01-01 05:00:00+00:00,0.198671836,0.375367878,0.29351578,0.10792172,0.27318887,0.313606821,1.202884956,0.395022552
2010-01-01 06:00:00+00:00,0.19911196,0.376129924,0.292453261,0.108578065,0.27372655,0.313279289,1.199313887,0.394656134
2010-01-01 07:00:00+00:00,0.199552084,0.376891971,0.291390743,0.109234409,0.274264124,0.312951757,1.195742818,0.394289701
2010-01-01 08:00:00+00:00,0.199992207,0.377654018,0.290328225,0.109890753,0.274801594,0.312624225,1.192171749,0.393923253
2010-01-01 09:00:00+00:00,0.200432331,0.378416065,0.289265706,0.110547097,0.27533896,0.312296694,1.18860068,0.39355679
2010-01-01 10:00:00+00:00,0.200872455,0.379178112,0.288203188,0.111203441,0.275876223,0.311969162,1.185029611,0.393190313
2010-01-01 11:00:00+00:00,0.201312578,0.379940159,0.287140669,0.111859785,0.276413383,0.31164163,1.181458542,0.392823821
2010-01-01 12:00:00+00:00,0.201752702,0.380702206,0.286078151,0.112516129,0.276950438,0.311314098,1.177887473,0.392457314
2010-01-01 13:00:00+00:00,0.202192826,0.381464253,0.285015633,0.113172473,0.277487391,0.310986567,1.174316404,0.392090792
2010-01-01 14:00:00+00:00,0.202632949,0.3822263,0.283953114,0.113828817,0.278024241,0.310659035,1.170745335,0.391724256
2010-01-01 15:00:00+00:00,0.203073073,0.382988347,0.282890596,0.114485161,0.278560989,0.310331503,1.167174265,0.391357705
2010-01-01 16:00:00+00:00,0.203513197,0.383750393,0.281828077,0.115141505,0.279097634,0.310003971,1.163603196,0.390991139
2010-01-01 17:00:00+00:00,0.20395332,0.38451244,0.280765559,0.115797849,0.279634178,0.309676439,1.160032127,0.390624559
2010-01-01 18:00:00+00:00,0.204393444,0.385274487,0.27970304,0.116454194,0.280170619,0.309348908,1.156461058,0.390257964
2010-01-01 19:00:00+00:00,0.204833568,0.386036534,0.278640522,0.117110538,0.280706959,0.309021376,1.152889989,0.389891355
2010-01-01 20:00:00+00:00,0.205273692,0.386798581,0.277578004,0.117766882,0.281243198,0.308693844,1.14931892,0.389524732
2010-01-01 21:00:00+00:00,0.205713815,0.387560628,0.276515485,0.118423226,0.281779335,0.308366312,1.145747851,0.389158093
2010-01-01 22:00:00+00:00,0.206153939,0.388322675,0.275452967,0.11907957,0.282315373,0.30803878,1.142176782,0.388791441
2010-01-01 23:00:00+00:00,0.206594063,0.389084722,0.274390448,0.119735914,0.282851308,0.307711249,1.138605713,0.388424774
2010-01-02 00:00:00+00:00,0.207034186,0.38948646,0.27356876,0.120392258,0.283193829,0.307137364,1.156860436,0.391096185
2010-01-02 01:00:00+00:00,0.20747431,0.389888199,0.272747071,0.121048602,0.28353631,0.30656348,1.175115159,0.39376759
2010-01-02 02:00:00+00:00,0.207914434,0.390289937,0.271925383,0.121704946,0.283878749,0.305989596,1.193369882,0.39643899
2010-01-02 03:00:00+00:00,0.208354557,0.390691676,0.271103694,0.12236129,0.284221148,0.305415711,1.211624605,0.399110383
2010-01-02 04:00:00+00:00,0.208794681,0.391093414,0.270282006,0.123017634,0.284563505,0.304841827,1.229879328,0.401781771
2010-01-02 05:00:00+00:00,0.209234805,0.391495152,0.269460317,0.123673978,0.284905823,0.304267943,1.248134051,0.404453153
2010-01-02 06:00:00+00:00,0.209674929,0.391896891,0.268638629,0.124330323,0.285248099,0.303694058,1.266388774,0.407124529
2010-01-02 07:00:00+00:00,0.210115052,0.392298629,0.26781694,0.124986667,0.285590334,0.303120174,1.284643497,0.409795899
2010-01-02 08:00:00+00:00,0.210555176,0.392700368,0.266995252,0.125643011,0.285932529,0.30254629,1.30289822,0.412467264
2010-01-02 09:00:00+00:00,0.2109953,0.393102106,0.266173563,0.126299355,0.286274684,0.301972405,1.321152943,0.415138622
2010-01-02 10:00:00+00:00,0.211435423,0.393503844,0.265351874,0.126955699,0.286616798,0.301398521,1.339407665,0.417809975
