,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
01/01/2016 00:00,0.078818457,0.06851613,0.326071676,0.167834658,0.139389794,0,0.107106619,0.366487914,0.076562605,0,0.392127188,0.270937575,0,0.020095528,0.206775831,0,0.165698964,0,0.306694169,0,0.350721712,0.015478481,0,0.053054696,0.361676767,0,0.018391151,0.145747137
01/01/2016 01:00,0.043410681,0.034300365,0.314157399,0.159231394,0.132026816,0,0.061951603,0.396943552,0.032377424,0,0.398875203,0.283304849,0,0,0.156018816,0,0.154121318,0,0.305836644,0,0.352577505,0,0,0.033361576,0.356712317,0,0,0.136160462
01/01/2016 02:00,0.009665811,0.002142387,0.275626557,0.164030673,0.127537798,0,0.015894465,0.385887943,0,0,0.393677266,0.2429996,0,0,0.052850916,0,0.109540738,0,0.277185727,0,0.349997593,0,0,0.011743519,0.351627839,0,0,0.092034121
01/01/2016 03:00,0.13049192,0.022896976,0.275562203,0.147606103,0.136779074,0,0,0.344263239,0,0,0.31050276,0.183492079,0,0,0,0,0.072925913,0,0.276978446,0,0.350381187,0,0,0,0.349432866,0,0,0.079922074
01/01/2016 04:00,0.081516015,0.029372992,0.290824411,0.126681994,0.076456341,0,0,0.303054383,0.023612896,0,0.334618079,0.279700523,0.015142699,0.042058448,0,0,0,0,0.21119402,0,0.314114858,0.088717524,0,0.048352076,0.308675172,0,0,0.077849266
01/01/2016 05:00,0.074993214,0.052321853,0.201950654,0,0,0,0,0.268065086,0.092037878,0,0.337879952,0.269259064,0.041028148,0,0,0,0,0,0.152615074,0,0.29773819,0,0,0.053553868,0.235204799,0,0,0.066609903
01/01/2016 06:00,0.036368815,0.03939211,0.197959603,0,0,0,0,0.247890381,0.122219251,0,0.339390664,0.224394333,0,0,0,0,0,0,0.132388714,0,0.268475952,0,0,0.015812128,0.212456967,0,0,0.035938034
01/01/2016 07:00,0.031993534,0.00581741,0.226991549,0,0,0,0,0.229510738,0.184545831,0,0.337628153,0.195934405,0,0,0,0,0,0,0.147480772,0,0.265392023,0,0,0,0.225106893,0,0,0.111732412
01/01/2016 08:00,0.07130485,0.002626224,0.233901896,0,0,0,0.028921732,0.252135891,0.226126999,0,0.339854844,0.17922386,0,0,0,0,0,0,0.171508122,0,0.275517897,0,0,0,0.235821512,0,0,0.184234823
01/01/2016 09:00,0.093276201,0.041172393,0.238124114,0,0,0,0.076669862,0.260614398,0.246431456,0,0.347229676,0.175439185,0.006812304,0.011707293,1.77E-06,0,0,0,0.188699173,0,0.290096703,0,0.02306444,0,0.255892972,0.031261016,0,0.220582049
