,Day,[AGRAS 1;AGRAS 2],[ASSOMATA 1;ASSOMATA 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4],LADONAS,[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[SFIKIA 1;SFIKIA 2;SFIKIA 3],[STRATOS-I NO 1;STRATOS-I NO 2],[STRATOS-II NO 1;STRATOS-II NO 2],THISAVROS 1,0,THISAVROS 2,THISAVROS 3
2014-12-31 23:00:00,41.6666666667,0.0519554166667,0.0,0.00758579166667,0.0305098333333,0.22575575,128.927856333,18.2281415,143.424839042,13.4741911667,0.202381875,0.65869725,8.92251145833,2.63884533333,3.482930125,2.28325004167,80.9315132083,0.0813150833333,0.0,1.149836,0.00797258333333,78.45223025,,78.45223025,78.45223025
2015-01-01 00:00:00,43.4027777778,0.0519428090278,0.0,0.00761686631944,0.0305618402778,0.227272461806,129.594901998,18.3016340955,143.892598745,13.5843550139,0.202682060764,0.659998828125,8.9430680191,2.64567967535,3.47990012326,2.25906446701,81.0864052118,0.0826063246528,0.0,1.15272455382,0.00809655729167,78.1802258299,,78.1802258299,78.1802258299
2015-01-01 01:00:00,45.1388888889,0.0519302013889,0.0,0.00764794097222,0.0306138472222,0.228789173611,130.261947663,18.375126691,144.360358448,13.6945188611,0.202982246528,0.66130040625,8.96362457986,2.65251401736,3.47687012153,2.23487889236,81.2412972153,0.0838975659722,0.0,1.15561310764,0.00822053125,77.9082214097,,77.9082214097,77.9082214097
2015-01-01 02:00:00,46.875,0.05191759375,0.0,0.007679015625,0.0306658541667,0.230305885417,130.928993328,18.4486192865,144.828118151,13.8046827083,0.203282432292,0.662601984375,8.98418114062,2.65934835938,3.47384011979,2.21069331771,81.3961892187,0.0851888072917,0.0,1.15850166146,0.00834450520833,77.6362169896,,77.6362169896,77.6362169896
2015-01-01 03:00:00,48.6111111111,0.0519049861111,0.0,0.00771009027778,0.0307178611111,0.231822597222,131.596038993,18.5221118819,145.295877854,13.9148465556,0.203582618056,0.6639035625,9.00473770139,2.66618270139,3.47081011806,2.18650774306,81.5510812222,0.0864800486111,0.0,1.16139021528,0.00846847916667,77.3642125694,,77.3642125694,77.3642125694
2015-01-01 04:00:00,50.3472222222,0.0518923784722,0.0,0.00774116493056,0.0307698680556,0.233339309028,132.263084658,18.5956044774,145.763637557,14.0250104028,0.203882803819,0.665205140625,9.02529426215,2.6730170434,3.46778011632,2.1623221684,81.7059732257,0.0877712899306,0.0,1.1642787691,0.008592453125,77.0922081493,,77.0922081493,77.0922081493
2015-01-01 05:00:00,52.0833333333,0.0518797708333,0.0,0.00777223958333,0.030821875,0.234856020833,132.930130323,18.6690970729,146.23139726,14.13517425,0.204182989583,0.66650671875,9.04585082292,2.67985138542,3.46475011458,2.13813659375,81.8608652292,0.08906253125,0.0,1.16716732292,0.00871642708333,76.8202037292,,76.8202037292,76.8202037292
2015-01-01 06:00:00,53.8194444444,0.0518671631944,0.0,0.00780331423611,0.0308738819444,0.236372732639,133.597175988,18.7425896684,146.699156964,14.2453380972,0.204483175347,0.667808296875,9.06640738368,2.68668572743,3.46172011285,2.1139510191,82.0157572326,0.0903537725694,0.0,1.17005587674,0.00884040104167,76.548199309,,76.548199309,76.548199309
2015-01-01 07:00:00,55.5555555556,0.0518545555556,0.0,0.00783438888889,0.0309258888889,0.237889444444,134.264221653,18.8160822639,147.166916667,14.3555019444,0.204783361111,0.669109875,9.08696394444,2.69352006944,3.45869011111,2.08976544444,82.1706492361,0.0916450138889,0.0,1.17294443056,0.008964375,76.2761948889,,76.2761948889,76.2761948889
2015-01-01 08:00:00,57.2916666667,0.0518419479167,0.0,0.00786546354167,0.0309778958333,0.23940615625,134.931267318,18.8895748594,147.63467637,14.4656657917,0.205083546875,0.670411453125,9.10752050521,2.70035441146,3.45566010938,2.06557986979,82.3255412396,0.0929362552083,0.0,1.17583298437,0.00908834895833,76.0041904687,,76.0041904687,76.0041904687
