,Day,[AGRAS 1;AGRAS 2],[ASSOMATA 1;ASSOMATA 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4],LADONAS,[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[SFIKIA 1;SFIKIA 2;SFIKIA 3],[STRATOS-I NO 1;STRATOS-I NO 2],[STRATOS-II NO 1;STRATOS-II NO 2],THISAVROS 1,0,THISAVROS 2,THISAVROS 3
2014-12-31 23:00:00,41.6666666667,0.024828375,0.0,0.0024,0.0322170416667,0.3884495,25.326922375,19.8278715417,125.203838417,7.40755925,0.197807583333,0.128149416667,5.87626333333,2.66982841667,0.35454175,0.712959416667,60.527731375,0.0239839583333,0.100343333333,1.52928875,0.0141882083333,7.54464891667,,7.54464891667,7.54464891667
2015-01-01 00:00:00,43.4027777778,0.0247503125,0.0,0.00241319444444,0.0322282430556,0.386145279514,25.3962142066,19.8407230347,125.550734738,7.4423234375,0.197501621528,0.128337730903,5.86647084549,2.64171030729,0.360043282986,0.69451328125,60.5317790642,0.0293481284722,0.0994172447917,1.52465941146,0.0143037204861,7.60085692014,,7.60085692014,7.60085692014
2015-01-01 01:00:00,45.1388888889,0.02467225,0.0,0.00242638888889,0.0322394444444,0.383841059028,25.4655060382,19.8535745278,125.897631059,7.477087625,0.197195659722,0.128526045139,5.85667835764,2.61359219792,0.365544815972,0.676067145833,60.5358267535,0.0347122986111,0.09849115625,1.52003007292,0.0144192326389,7.65706492361,,7.65706492361,7.65706492361
2015-01-01 02:00:00,46.875,0.0245941875,0.0,0.00243958333333,0.0322506458333,0.381536838542,25.5347978698,19.8664260208,126.24452738,7.5118518125,0.196889697917,0.128714359375,5.84688586979,2.58547408854,0.371046348958,0.657621010417,60.5398744427,0.04007646875,0.0975650677083,1.51540073438,0.0145347447917,7.71327292708,,7.71327292708,7.71327292708
2015-01-01 03:00:00,48.6111111111,0.024516125,0.0,0.00245277777778,0.0322618472222,0.379232618056,25.6040897014,19.8792775139,126.591423701,7.546616,0.196583736111,0.128902673611,5.83709338194,2.55735597917,0.376547881944,0.639174875,60.5439221319,0.0454406388889,0.0966389791667,1.51077139583,0.0146502569444,7.76948093056,,7.76948093056,7.76948093056
2015-01-01 04:00:00,50.3472222222,0.0244380625,0.0,0.00246597222222,0.0322730486111,0.376928397569,25.673381533,19.8921290069,126.938320023,7.5813801875,0.196277774306,0.129090987847,5.8273008941,2.52923786979,0.382049414931,0.620728739583,60.5479698212,0.0508048090278,0.095712890625,1.50614205729,0.0147657690972,7.82568893403,,7.82568893403,7.82568893403
2015-01-01 05:00:00,52.0833333333,0.02436,0.0,0.00247916666667,0.03228425,0.374624177083,25.7426733646,19.9049805,127.285216344,7.616144375,0.1959718125,0.129279302083,5.81750840625,2.50111976042,0.387550947917,0.602282604167,60.5520175104,0.0561689791667,0.0947868020833,1.50151271875,0.01488128125,7.8818969375,,7.8818969375,7.8818969375
2015-01-01 06:00:00,53.8194444444,0.0242819375,0.0,0.00249236111111,0.0322954513889,0.372319956597,25.8119651962,19.9178319931,127.632112665,7.6509085625,0.195665850694,0.129467616319,5.8077159184,2.47300165104,0.393052480903,0.58383646875,60.5560651997,0.0615331493056,0.0938607135417,1.49688338021,0.0149967934028,7.93810494097,,7.93810494097,7.93810494097
2015-01-01 07:00:00,55.5555555556,0.024203875,0.0,0.00250555555556,0.0323066527778,0.370015736111,25.8812570278,19.9306834861,127.979008986,7.68567275,0.195359888889,0.129655930556,5.79792343056,2.44488354167,0.398554013889,0.565390333333,60.5601128889,0.0668973194444,0.092934625,1.49225404167,0.0151123055556,7.99431294444,,7.99431294444,7.99431294444
2015-01-01 08:00:00,57.2916666667,0.0241258125,0.0,0.00251875,0.0323178541667,0.367711515625,25.9505488594,19.9435349792,128.325905307,7.7204369375,0.195053927083,0.129844244792,5.78813094271,2.41676543229,0.404055546875,0.546944197917,60.5641605781,0.0722614895833,0.0920085364583,1.48762470313,0.0152278177083,8.05052094792,,8.05052094792,8.05052094792
2015-01-01 09:00:00,59.0277777778,0.02404775,0.0,0.00253194444444,0.0323290555556,0.365407295139,26.019840691,19.9563864722,128.672801628,7.755201125,0.194747965278,0.130032559028,5.77833845486,2.38864732292,0.409557079861,0.5284980625,60.5682082674,0.0776256597222,0.0910824479167,1.48299536458,0.0153433298611,8.10672895139,,8.10672895139,8.10672895139
2015-01-01 10:00:00,60.7638888889,0.0239696875,0.0,0.00254513888889,0.0323402569444,0.363103074653,26.0891325226,19.9692379653,129.01969795,7.7899653125,0.194442003472,0.130220873264,5.76854596701,2.36052921354,0.415058612847,0.510051927083,60.5722559566,0.0829898298611,0.090156359375,1.47836602604,0.0154588420139,8.16293695486,,8.16293695486,8.16293695486
