,EE_P2HT_OTH,EE_STUR_BIO_CHP,EE_COMC_GAS_CHP,EE_ICEN_GAS_CHP
2016-01-01 00:00:00,519.1364162052425,347.54032274060376,20.076141878468768,201.74291905430172
2016-01-01 01:00:00,554.049099166414,370.9129175447964,21.42629177088041,215.31042530649162
2016-01-01 02:00:00,633.7410928821309,424.26340568480134,24.508155655733074,246.27973305605545
2016-01-01 03:00:00,859.9145607610233,575.6771720250059,33.2547788717911,334.1735779071986
2016-01-01 04:00:00,1028.7856903014713,688.7293968931116,39.78539519921698,399.7990157574648
2016-01-01 05:00:00,990.4576361810548,663.0703525972045,38.30316542602594,384.9042534588651
2016-01-01 06:00:00,973.7602660691904,651.8921550821558,37.65744156443776,378.41544612086125
2016-01-01 07:00:00,935.4322119487741,626.2331107862487,36.175211791246724,363.5206838222615
2016-01-01 08:00:00,894.0682723534734,598.5416669421509,34.5755776795851,347.44613837129737
2016-01-01 09:00:00,862.9504462359076,577.7095715731966,33.37218321026168,335.353361059563
2016-01-01 10:00:00,842.0787335960771,563.7368246793858,32.56502838327646,327.24235188705813
2016-01-01 11:00:00,818.5506211657225,547.9857281809082,31.655144760129485,318.0990324562345
2016-01-01 12:00:00,825.760849168573,552.812677107861,31.933980063997108,320.9010174430998
2016-01-01 13:00:00,829.5557060121787,555.3531765430993,32.08073548708533,322.3757463835552
2016-01-01 14:00:00,861.053017814105,576.4393218555774,33.29880549871757,334.6159965893352
2016-01-01 15:00:00,883.4426731913778,591.4282685234837,34.164662494938085,343.3168973380222
2016-01-01 16:00:00,879.2683306634116,588.6337191447215,34.00323152954104,341.69469550352125
2016-01-01 17:00:00,871.29913129184,583.2986703307209,33.69504514105577,338.59776472856487
2016-01-01 18:00:00,842.8377049647981,564.2449245664335,32.59437946789411,327.5372976751492
2016-01-01 19:00:00,761.6277685116388,509.87823665233316,29.453813413806156,295.9780983494032
2016-01-01 20:00:00,624.253950773117,417.9121570967055,24.14126709801252,242.5929107049169
2016-01-01 21:00:00,519.5159018896031,347.7943726841276,20.09081742077759,201.89039194834726
2016-01-01 22:00:00,574.541326121884,384.63161449508345,22.21877105555681,223.27396158495088
2016-01-01 23:00:00,582.8900111778162,390.2207132526077,22.541632986350898,226.5183652539528
2016-01-02 00:00:00,595.7925244460753,398.85841133241803,23.040601424850852,231.5324436515012
2016-01-02 01:00:00,631.084693091607,422.48505608013454,24.405426859571318,245.24742279773668
2016-01-02 02:00:00,713.4330865978482,477.6138938248064,27.590019540585736,277.24904080561936
2016-01-02 03:00:00,960.478267116571,643.0004070588217,37.14379758362899,373.25389482926727
