,BG_P2HT_OTH,BG_STUR_BIO_CHP,BG_ICEN_GAS_CHP
2016-01-01 00:00:00,1262.670083902617,613.3273750431682,273.46523327612823
2016-01-01 01:00:00,1343.6460000368252,652.6604888291602,291.0027500651118
2016-01-01 02:00:00,1524.995104991383,740.7487170418951,330.278785763634
2016-01-01 03:00:00,2006.8479899725085,974.8031774034065,434.63701304408767
2016-01-01 04:00:00,2363.3883355368175,1147.9885225143526,511.8554329742893
2016-01-01 05:00:00,2261.167787413026,1098.3360746932522,489.71681862469774
2016-01-01 06:00:00,2254.0862434164983,1094.8962966815495,488.1831194378285
2016-01-01 07:00:00,2171.8787544133284,1054.9649606326525,470.37887235547623
2016-01-01 08:00:00,2089.979158627399,1015.183180149482,452.64130784646636
2016-01-01 09:00:00,2005.3085238863068,974.0553995747754,434.30360017737695
2016-01-01 10:00:00,1962.5113666899001,953.267175938833,425.0347224828191
2016-01-01 11:00:00,1943.4219872209992,943.9947308638082,420.9004029356062
2016-01-01 12:00:00,1970.208697120909,957.0060650819883,426.70178681637276
2016-01-01 13:00:00,2005.0006306690666,973.9058440090494,434.2369176040349
2016-01-01 14:00:00,2080.1265756757084,1010.3974020462434,450.5074654995177
2016-01-01 15:00:00,2117.9974413962696,1028.7927366305667,458.7094220206013
2016-01-01 16:00:00,2121.0763735686733,1030.2882922878289,459.37624775402276
2016-01-01 17:00:00,2094.5975568860044,1017.426513635375,453.64154644659845
2016-01-01 18:00:00,2013.621640751796,978.0933998493829,436.1040296576148
2016-01-01 19:00:00,1816.569981717981,882.3778377846116,393.4271827186434
2016-01-01 20:00:00,1483.737413881178,720.7082712345837,321.34332093578683
2016-01-01 21:00:00,1243.8885976509566,604.2044855338697,269.3975963022575
2016-01-01 22:00:00,1210.3282369717597,587.9029288697133,262.1291958079639
2016-01-01 23:00:00,1243.272811216476,603.9053744024172,269.2642311555732
2016-01-02 00:00:00,1275.601599026711,619.6087088036688,276.2659013564982
2016-01-02 01:00:00,1358.4248744643614,659.839155984018,294.20351358553467
