,PHOT,WTOF,WTON,HE Kraljevac,HE Dale,HE Varazdin,HE Dubrava,HE Cakovec,HE Gojak,HE Lesce,HE Rijeka,HE Miljacka,mHE Hrvatska,HROR
2015-01-01 13:00:00+00:00,0.053428732,0,0.012,0.177548195,0.488730253,0.388420628,0.465099985,0.223141,0.256027,0.143015,0.064109,1,0.326766,0.333627
2015-01-01 14:00:00+00:00,0.022651016,0,0.009,0.177269517,0.487963146,0.387661241,0.465069832,0.226393,0.255391,0.142659,0.063929,1,0.326922,0.333785
2015-01-01 15:00:00+00:00,0,0,0.004,0.176990839,0.487196039,0.386901854,0.465039678,0.227767,0.254754,0.142304,0.063749,1,0.326789,0.33365
2015-01-01 16:00:00+00:00,0,0,0.003,0.17671216,0.486428932,0.386142467,0.465009525,0.228162,0.254118,0.141948,0.063569,1,0.326506,0.333361
2015-01-01 17:00:00+00:00,0,0,0.003,0.176433482,0.485661825,0.385383079,0.464979371,0.227424,0.253482,0.141593,0.063389,1,0.326049,0.332895
2015-01-01 18:00:00+00:00,0,0,0.003,0.176154804,0.484894718,0.384623692,0.464949218,0.226354,0.252846,0.141237,0.06321,1,0.325541,0.332376
2015-01-01 19:00:00+00:00,0,0,0.005,0.175876126,0.484127611,0.383864305,0.464919064,0.225012,0.252209,0.140882,0.06303,1,0.324992,0.331815
2015-01-01 20:00:00+00:00,0,0,0.007,0.175597448,0.483360504,0.383104918,0.464888911,0.223253,0.251573,0.140527,0.06285,1,0.324379,0.331189
2015-01-01 21:00:00+00:00,0,0,0.007,0.17531877,0.482593397,0.382345531,0.464858758,0.222072,0.250937,0.140171,0.06267,1,0.323854,0.330653
2015-01-01 22:00:00+00:00,0,0,0.007,0.175040091,0.48182629,0.381586143,0.464828604,0.205814,0.2503,0.139816,0.06249,1,0.321016,0.327756
2015-01-01 23:00:00+00:00,0,0,0.011,0.174761413,0.481059183,0.380826756,0.464798451,0.195651,0.249664,0.13946,0.062311,1,0.319113,0.325813
2015-01-02 00:00:00+00:00,0,0,0.018,0.17420286,0.479521674,0.379878038,0.464786066,0.192453,0.24914,0.139167,0.062143,1,0.318177,0.324858
2015-01-02 01:00:00+00:00,0,0,0.027,0.173644306,0.477984165,0.378929319,0.464773681,0.195247,0.248615,0.138875,0.061976,1,0.318161,0.324841
2015-01-02 02:00:00+00:00,0,0,0.036,0.173085753,0.476446656,0.3779806,0.464761297,0.193825,0.248091,0.138582,0.061809,1,0.317498,0.324163
2015-01-02 03:00:00+00:00,0,0,0.04,0.172527199,0.474909147,0.377031882,0.464748912,0.188916,0.247567,0.138289,0.061642,1,0.316299,0.32294
2015-01-02 04:00:00+00:00,0,0,0.046,0.171968646,0.473371638,0.376083163,0.464736527,0.183409,0.247043,0.137996,0.061474,1,0.315009,0.321623
2015-01-02 05:00:00+00:00,0,0,0.052,0.171410092,0.471834129,0.375134444,0.464724143,0.179325,0.246518,0.137703,0.061307,1,0.313938,0.320529
2015-01-02 06:00:00+00:00,0.001556177,0,0.059,0.170851539,0.470296619,0.374185726,0.464711758,0.174972,0.245994,0.13741,0.06114,1,0.312825,0.319392
2015-01-02 07:00:00+00:00,0.021094839,0,0.071,0.170292985,0.46875911,0.373237007,0.464699373,0.169873,0.24547,0.137117,0.060973,1,0.311597,0.318139
2015-01-02 08:00:00+00:00,0.032333893,0,0.081,0.169734432,0.467221601,0.372288288,0.464686989,0.164342,0.244945,0.136824,0.060805,1,0.310304,0.316819
2015-01-02 09:00:00+00:00,0.050316379,0,0.107,0.169175879,0.465684092,0.37133957,0.464674604,0.15862,0.244421,0.136532,0.060638,1,0.308981,0.315468
2015-01-02 10:00:00+00:00,0.066569779,0,0.123,0.168617325,0.464146583,0.370390851,0.464662219,0.154042,0.243897,0.136239,0.060471,1,0.307833,0.314296
2015-01-02 11:00:00+00:00,0.056368177,0,0.128,0.168058772,0.462609074,0.369442132,0.464649835,0.150547,0.243372,0.135946,0.060304,1,0.306852,0.313294
2015-01-02 12:00:00+00:00,0.033371344,0,0.12,0.167500218,0.461071565,0.368493414,0.46463745,0.147335,0.242848,0.135653,0.060137,1,0.305914,0.312337
2015-01-02 13:00:00+00:00,0.012276505,0,0.107,0.166941665,0.459534055,0.367544695,0.464625065,0.143663,0.242324,0.13536,0.059969,1,0.304906,0.311307
2015-01-02 14:00:00+00:00,0.002593628,0,0.097,0.166383111,0.457996546,0.366595976,0.464612681,0.141126,0.241799,0.135067,0.059802,1,0.304071,0.310455
2015-01-02 15:00:00+00:00,0,0,0.108,0.165824558,0.456459037,0.365647258,0.464600296,0.138849,0.241275,0.134774,0.059635,1,0.303277,0.309644
2015-01-02 16:00:00+00:00,0,0,0.121,0.165266004,0.454921528,0.364698539,0.464587911,0.136207,0.240751,0.134481,0.059468,1,0.302426,0.308776
2015-01-02 17:00:00+00:00,0,0,0.134,0.164707451,0.453384019,0.363749821,0.464575527,0.133221,0.240226,0.134189,0.0593,1,0.301523,0.307854
2015-01-02 18:00:00+00:00,0,0,0.153,0.164148897,0.45184651,0.362801102,0.464563142,0.130088,0.239702,0.133896,0.059133,1,0.300597,0.306908
2015-01-02 19:00:00+00:00,0,0,0.162,0.163590344,0.450309001,0.361852383,0.464550757,0.126843,0.239178,0.133603,0.058966,1,0.299654,0.305946
2015-01-02 20:00:00+00:00,0,0,0.162,0.163031791,0.448771491,0.360903665,0.464538373,0.123681,0.238653,0.13331,0.058799,1,0.298724,0.304996
2015-01-02 21:00:00+00:00,0,0,0.164,0.162473237,0.447233982,0.359954946,0.464525988,0.120719,0.238129,0.133017,0.058632,1,0.297825,0.304077
2015-01-02 22:00:00+00:00,0,0,0.163,0.161914684,0.445696473,0.359006227,0.464513603,0.117873,0.237605,0.132724,0.058464,1,0.296943,0.303177
2015-01-02 23:00:00+00:00,0,0,0.16,0.16135613,0.444158964,0.358057509,0.464501219,0.115284,0.237081,0.132431,0.058297,1,0.296101,0.302317
2015-01-03 00:00:00+00:00,0,0,0.159,0.160740393,0.442464047,0.357653583,0.464463682,0.11245,0.2366,0.132163,0.058139,1,0.295306,0.301506
2015-01-03 01:00:00+00:00,0,0,0.165,0.160124656,0.440769131,0.357249657,0.464426145,0.110325,0.236119,0.131894,0.057981,1,0.29462,0.300806
