,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
SK_STUR_GEO,SK_STUR_GEO,27.0,1.0,SK,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
SK_STUR_LIG,SK_STUR_LIG,9.0,1.0,SK,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,
SK_STUR_NUC,SK_STUR_NUC,872.0,1.0,SK,STUR,NUC,0.34,24,24,0.05,0.05,300,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
SK_COMC_GAS,SK_COMC_GAS,380.625,8.0,SK,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
SK_STUR_HRD,SK_STUR_HRD,440.0,1.0,SK,STUR,HRD,0.42,6,6,0.04,0.04,65,12.5,1.8,0.182119205,0.46,2.0,0.4717,,,,,,,,,,,
SK_HROR_WAT,SK_HROR_WAT,1992.9999999999998,1,SK,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
SK_WTON_WIN,SK_WTON_WIN,29292.0,1,SK,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
SK_PHOT_SUN,SK_PHOT_SUN,26489.0,1,SK,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
SK_P2HT_OTH,SK_P2HT_OTH,0.0029999995725887496,2339667.0,SK,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.176601533514717,5.0,0.07844016890253942,0.0,,,,
SK_P2GS_HYD,SK_P2GS_HYD,2375.0,1,SK,P2GS,HYD,0.46,0,0,1.0,1.0,0,0.0,0.0,0.15,0.47,0.0,0.0,,,,,,,,0,0.0,36469.0,0.72
SK_STUR_BIO_CHP,SK_STUR_BIO_CHP,146.4,5.0,SK,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,back-pressure,0.45,0.0,,,,,,,,
SK_COMC_GAS_CHP,SK_COMC_GAS_CHP,370.5,2.0,SK,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,back-pressure,0.95,0.0,,,,,,,,
