,Unnamed: 0,Unnamed: 0.1,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,0,PT_STUR_GEO,PT_STUR_GEO,37.3,10.0,PT,STUR,GEO,0.1,2,2,0.02,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
1,1,PT_COMC_GAS,PT_COMC_GAS,1669.1319455894097,17.0,PT,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
2,2,PT_COMC_CCS_GAS,PT_COMC_CCS_GAS,145.0,1.0,PT,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,,,,,,,,,,,
3,3,PT_HDAM_WAT,PT_HDAM_WAT,4223.0,1.0,PT,HDAM,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,2897771.0,0.0,0.0,0.89
4,4,PT_HPHS_WAT,PT_HPHS_WAT,1093.0,1.0,PT,HPHS,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,6558.0,0.0,1093.0,0.89
5,5,PT_HROR_WAT,PT_HROR_WAT,2203.0,1.0,PT,HROR,WAT,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
6,6,PT_WTON_WIN,PT_WTON_WIN,7575.0,1.0,PT,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
7,7,PT_PHOT_SUN,PT_PHOT_SUN,148018.0,1.0,PT,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
8,8,PT_SCSP_SUN,PT_SCSP_SUN,149.28070175438597,171.0,PT,SCSP,SUN,1.0,2,2,0.021276596000000002,0.021276596000000002,0.0,0.0,0.0,0.0,0.395,0.0,0.0,,,,,,,,2239.2105263157896,0.03,0.0,
9,9,PT_BATS_OTH,PT_BATS_OTH,5717.0,1.0,PT,BATS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,22868.0,0.0,5717.0,0.89
10,10,PT_BEVS_OTH,PT_BEVS_OTH,12319.0,1.0,PT,BEVS,OTH,0.94,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,131024.67,0.0,12319.0,0.94
11,11,PT_P2HT_OTH,PT_P2HT_OTH,5441.0,1.0,PT,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0914807605929029,5.0,0.015246780797193403,0.0006098712315654796,27205.0,0.03,,
12,12,PT_P2GS_HYD,PT_P2GS_HYD,2307.0,1.0,PT,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,285495.0,0.0,183493.0,0.72
13,13,PT_STUR_BIO_CHP,PT_STUR_BIO_CHP,170.125,8.0,PT,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4536.666666666666,0.03,,
14,14,PT_COMC_GAS_CHP,PT_COMC_GAS_CHP,306.0,1.0,PT,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,3865.263157894737,0.03,,
