,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
PT_STUR_GEO,PT_STUR_GEO,37.3,10.0,PT,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
PT_COMC_GAS,PT_COMC_GAS,411.70588235294116,17.0,PT,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
PT_HROR_WAT,PT_HROR_WAT,6426.0,1,PT,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
PT_WTON_WIN,PT_WTON_WIN,7575.0,1,PT,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
PT_PHOT_SUN,PT_PHOT_SUN,148018.0,1,PT,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
PT_SCSP_SUN,PT_SCSP_SUN,149.28070175438597,171.0,PT,SCSP,SUN,0.25,0,0,0.02,0.02,0,0.0,0.0,0.0,0.2,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.95
PT_P2HT_OTH,PT_P2HT_OTH,0.002999999448630868,1813667.0,PT,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.091480760592903,5.0,0.015246780797193405,0.0006098712315654796,,,,
PT_P2GS_HYD,PT_P2GS_HYD,2307.0,1,PT,P2GS,HYD,0.46,0,0,1.0,1.0,0,0.0,0.0,0.15,0.47,0.0,0.0,,,,,,,,79304166.66666667,0.0,183493.0,0.72
PT_STUR_BIO_CHP,PT_STUR_BIO_CHP,170.125,8.0,PT,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,back-pressure,0.45,0.0,,,,,,,,
PT_COMC_GAS_CHP,PT_COMC_GAS_CHP,306.0,1.0,PT,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,back-pressure,0.95,0.0,,,,,,,,
